,Moran_BIGC670101.lag3,formula_H,formula_C,ABHPRK__59,Moran_BHAR880101.lag1,NMBroto_BHAR880101.lag1,Z5__73,ABHPRK__60,CTDD_polarizability.2.residue50,Z5__4,Z5__65,Z5__5,ABHPRK__57,DDE_HS,ABHPRK__76,ABHPRK__77,Z5__56,ABHPRK__78,NMBroto_CHAM810101.lag2,Ez__26,Ez__25,Ez__24,Ez__23,Ez__22,Ez__21,DDE_VN,Z5__1,Boman_Index,Moran_CHOC760101.lag3,Ez__29,Ez__30,Flexibility,Ez__27,MSW__19,MSW__20,GTPC_uncharger.aromatic.postivecharger,APAAC_Pc1.L,Polarity,Z3__1,Z3__4,Z3__5,CTDC_solventaccess.G1,CTDC_polarity.G3,CTDC_polarity.G1,DDE_KG,CTDC_hydrophobicity_ENGD860101.G1,CTDC_hydrophobicity_CASG920101.G3,CTDC_hydrophobicity_PONP930101.G3,CTDC_hydrophobicity_PRAM900101.G3,Geary_CHOC760101.lag3,Geary_BIGC670101.lag3,DDE_QN,Moran_CHAM820101.lag3,Calculate_mw,Ez__19,Ez__17,CTDD_hydrophobicity_ENGD860101.1.residue50,Cougar__12,Cougar__26,Ez__10,Ez__11,Cougar__27,Ez__9,Ez__15,Cougar__28,Cougar__24,Ez__12,Z5__31,Ez__8,Ez__7,Cougar__23,Cougar__15,Ez__14,Cougar__14,Ez__6,Ez__2,Cougar__8,Cougar__21,Cougar__22,Cougar__1,CTDD_charge.1.residue25,Geary_CHAM820101.lag3,DDE_KP,DDE_IQ,Z3__21,DDE_PP,DDE_II,Geary_BHAR880101.lag1,DDE_CC,CTDD_hydrophobicity_FASG890101.1.residue50,y,MotifBitVec_FKK,MotifBitVec_LKL,MotifBitVec_KKLL,MotifBitVec_KWK,MotifBitVec_VLK,MotifBitVec_CYCR,MotifBitVec_CRR,MotifBitVec_RFC,MotifBitVec_RRR,MotifBitVec_LKKL,MotifBitVec_ALW,MotifBitVec_GCS,MotifBitVec_AAAK,MotifBitVec_KLLS,MotifBitVec_LGKL,MotifBitVec_LLKKV,MotifBitVec_AKAAL,MotifBitVec_KVLKA,MotifBitVec_HIF,MotifBitVec_KKG,MotifBitVec_QN
peptide_nm_1,0.934501674,1.610066725,1.487836294,-0.357830302,0.433969468,0.259773159,-0.160175728,-0.739052051,0.017407216,-0.3475362,0.012513849,-0.580689272,-0.430398373,-0.322542213,-0.299482798,-0.445171341,0.871904855,-0.243569575,0.312222098,-0.10329462,-0.745077198,-0.555511544,-0.681065564,-0.721698381,-0.718579759,-0.250131611,-0.841241864,-0.054206676,0.99996707,-0.24437085,-0.389659009,-0.875520103,-0.39706466,-0.625080852,-1.255165672,-0.267115022,-1.242107082,-0.29379605,-0.500274717,-0.180641406,-0.567869829,0.358832534,0.129858003,-0.768593389,-0.38115564,-0.000664465,-0.013486291,-0.768593389,-0.622068622,-0.973453736,-0.849094601,6.253484262,1.239769268,1.459966661,-1.022039612,-1.079839247,-1.006554498,1.200126935,1.184268299,0.33554051,0.216909067,1.117756645,0.268847814,0.451739626,1.103692486,0.06410274,0.548136397,0.476477418,0.113463639,0.074965258,-0.013039374,1.327467282,0.273984961,1.31655818,0.265022592,-0.31602545,0.157061715,0.305836534,0.14479681,0.780993683,-1.086266337,-1.359732465,-0.271055537,-0.214763704,0.588826778,-0.370130657,-0.284842078,-0.249502355,-0.199716659,-1.01781957,0,3.24917572,-0.256663501,-0.242694301,-0.293097322,-0.225054106,-0.222005948,-0.225054106,-0.222005948,-0.251147171,-0.209453975,-0.1632475,-0.150850937,-0.137447036,-0.132702912,-0.132702912,-0.132702912,-0.127795377,-0.127795377,-0.122704775,-0.142044165,8.149642119
peptide_nm_2,-0.708074348,-1.161124775,-1.290725838,-1.277165894,-2.687277008,-1.897293611,0.12920745,-0.303064024,-0.164056586,-2.835083693,-0.650785943,0.90241874,-1.247618151,-0.107692857,0.692741078,-1.438768887,0.796632164,2.732822697,0.091573821,-0.446611761,-1.02007226,-0.712605367,-0.685550726,-0.744905367,-1.060298663,-0.095086221,-0.607868807,0.983596665,-1.657922065,-0.535941677,-0.342391514,-0.658422494,-0.438598226,0.704383079,0.088853653,-0.267115022,-0.748645014,-0.857683281,-0.829207695,-2.699923515,0.762099149,-0.431999256,0.571739093,-1.117071237,-0.306241564,0.211277731,-0.850540258,-1.117071237,-0.97196842,1.46465968,0.131746682,-0.070107282,-1.604680984,-1.148170394,-1.9596327,-1.641374396,-0.90738268,0.966200993,0.255133803,0.552700097,0.533240285,0.09278616,1.623507952,0.88573994,0.229263126,-1.5547914,1.585884142,-0.848288563,0.224816518,0.943308284,-1.265795671,0.572476054,2.385249426,1.036697491,0.337523541,-2.1324141,-2.438750319,-0.739405264,-1.095716245,0.77774552,0.20099351,1.439426249,-0.154151654,-0.045418355,-0.732791369,0.098202078,-0.207468788,2.366992669,-0.021759816,-0.75059181,0,-0.307770366,-0.256663501,-0.242694301,-0.293097322,-0.225054106,-0.222005948,-0.225054106,-0.222005948,-0.251147171,-0.209453975,-0.1632475,-0.150850937,-0.137447036,-0.132702912,-0.132702912,-0.132702912,-0.127795377,-0.127795377,-0.122704775,-0.142044165,-0.122704775
peptide_nm_3,0.828314701,0.854287225,0.945677829,-0.317859189,-0.442630969,-0.568770623,-0.152408588,-0.492093798,0.959623113,0.407461549,1.097342525,0.073766012,-0.506672219,-0.259478803,1.286379295,0.925993273,0.331092532,0.307614179,0.293766564,-1.128399854,-0.80433628,-0.797392026,-0.876803211,-0.921514913,-0.897666668,-0.204622092,-0.051377549,0.555594605,0.573543793,-1.194559524,-1.221081162,0.772744825,-1.197739307,-1.101103664,-0.552056425,-0.267115022,0.090962649,1.285634688,0.187401153,0.524773539,0.055609271,-1.040331401,1.642450966,-1.054523931,-0.359166572,1.238382222,-0.399818891,-1.054523931,-0.909165892,-0.718827735,-0.890742032,-0.150813923,0.75203279,0.860165489,0.085507418,0.019361613,-0.052979324,0.520052823,1.89997753,1.348525259,0.520818121,1.528767592,1.107870232,0.808058304,1.422470656,-0.750280879,0.614469225,0.364796744,1.02869356,1.036648238,-0.176552646,0.587288651,0.650134031,0.416256397,1.333388026,0.158095793,-0.10192599,-0.917642583,-0.78384743,-0.149670326,-1.039362132,-0.965790209,-0.236741459,-0.165056805,0.222327964,-0.232663831,-0.262131172,0.613902432,-0.147482081,0.016831501,0,-0.307770366,-0.256663501,-0.242694301,3.411836016,-0.225054106,-0.222005948,-0.225054106,-0.222005948,-0.251147171,-0.209453975,-0.1632475,-0.150850937,-0.137447036,-0.132702912,-0.132702912,-0.132702912,-0.127795377,-0.127795377,-0.122704775,-0.142044165,-0.122704775
peptide_nm_4,-0.502571425,-0.923194192,-0.906696926,-1.277165894,1.499763473,1.364090147,3.893012588,-0.649618609,1.203901308,-1.632078415,-0.682396668,-1.029385252,-1.247618151,-0.142914909,-0.197716247,-0.031172363,-3.242567729,0.41785093,0.435395819,-0.976179905,-0.749345022,-0.76874718,-0.655978686,-0.613266719,-0.882598322,-0.120504108,-0.899549198,1.328192517,-0.402370333,-0.476033006,-0.541776911,1.451034965,-0.298172913,-0.902829452,-0.336462298,-0.267115022,-1.242107082,-0.337856263,-1.407327686,-1.448499624,-0.861678254,0.480498963,-0.142068822,1.44736831,-0.318522855,0.09715501,1.531844111,1.44736831,0.974909947,0.027577468,0.033743566,-0.088835323,-0.116430513,-0.670920588,-1.215517868,-1.065911446,-0.85398247,-0.620937814,-0.77227966,1.61459396,2.221052789,-0.451782752,1.437287039,1.690695198,-0.615021101,-0.871721436,0.751755998,-2.708373748,1.150554581,0.760991381,-0.484683068,-0.597457267,1.53441581,-0.739134385,1.316640758,0.430897122,-1.491392869,-0.741283354,-0.328776611,0.36745841,0.237474559,-0.18644204,-0.173316685,-0.073180554,-2.28349583,0.021424376,-0.220153238,-1.550132943,-0.050933769,-0.222988283,0,-0.307770366,-0.256663501,-0.242694301,-0.293097322,-0.225054106,4.50438383,4.44337594,4.50438383,3.981729105,-0.209453975,-0.1632475,-0.150850937,-0.137447036,-0.132702912,-0.132702912,-0.132702912,-0.127795377,-0.127795377,-0.122704775,-0.142044165,-0.122704775
peptide_nm_5,-2.174532101,-1.245100275,-1.042236542,-1.277165894,0.159888511,-0.269266177,-0.839397099,0.216767855,1.264970857,-2.975847917,0.335854623,-0.203090356,0.075499585,-0.080807871,0.692741078,0.974253725,-0.19098761,1.520218438,0.445721805,-0.632693708,-0.238373658,-1.956743035,-1.196938853,-1.211678774,-0.729406605,-0.075684752,1.437931689,0.807179098,-1.917073815,-1.740088137,-0.96468114,0.521598027,-1.31688023,2.204010656,1.864237438,-0.267115022,-0.741262878,0.435148228,1.661152033,-3.026778437,-0.502362775,-0.431999256,1.345031001,0.509158719,-0.296867256,0.953075419,1.451358152,0.509158719,0.660897307,1.273293178,1.773490938,-0.055812171,-1.968976753,-1.098357781,-1.294086441,-0.789957737,0.481022774,0.224234486,0.231485847,0.138463695,-0.368618704,0.345194403,1.379407279,0.408234856,0.561019716,-1.09029243,0.722577823,-0.126586976,0.426207279,0.815689265,-1.470479176,-0.632774298,1.972765419,-0.279290533,0.021432415,0.202917277,-1.128840554,-1.141618057,-1.841788494,-0.516570143,0.556683731,1.413611741,-0.139522989,-0.024227473,-0.307995044,0.156806485,-0.197786749,-0.581258742,0.000508658,0.496471071,0,-0.307770366,-0.256663501,-0.242694301,-0.293097322,-0.225054106,-0.222005948,-0.225054106,-0.222005948,-0.251147171,-0.209453975,-0.1632475,-0.150850937,-0.137447036,-0.132702912,-0.132702912,-0.132702912,-0.127795377,-0.127795377,-0.122704775,-0.142044165,-0.122704775
peptide_nm_6,-1.027143815,0.126499558,-0.003099484,-0.890077224,-0.244125357,0.209316197,-0.085461859,-1.342727781,-0.395010516,-0.262569762,-0.10844672,-1.12845317,-0.806578906,-0.227799232,0.692741078,0.57208329,0.013415077,1.277697587,0.499246338,-0.66749611,-0.353692524,-0.44566295,-0.629700915,-0.646480763,-0.8451838,-0.181760624,-1.324694191,0.93657628,-0.992958814,-0.553947039,-0.750708493,-0.311756117,-0.441508414,-0.247317859,-0.289902994,-0.267115022,-1.242107082,-1.215275464,-1.391866767,-0.249619619,-1.185827399,-1.510406241,0.290542036,-0.96923215,-0.34812048,0.953075419,-0.165677921,-0.96923215,-1.194631929,0.882794267,0.876195162,-0.133969466,-0.733540059,0.210730815,-0.499203519,-0.734631595,0.16547608,1.323279301,0.033823262,1.270673186,1.384432177,-0.543857029,1.091226538,1.393870822,-0.126665428,-0.507640956,0.860359585,-0.900909448,0.900385747,1.224649254,-0.841322597,1.04447643,1.101843906,0.999387565,1.522256847,1.6973887,-0.899076493,-0.775815833,-0.987605074,1.467463222,-0.575057881,0.638988191,3.971870672,-0.140086807,-0.672959488,-0.163608095,2.215124296,-0.12791357,-0.121242317,1.063317835,0,-0.307770366,-0.256663501,-0.242694301,-0.293097322,-0.225054106,-0.222005948,-0.225054106,-0.222005948,-0.251147171,-0.209453975,-0.1632475,-0.150850937,-0.137447036,-0.132702912,-0.132702912,-0.132702912,-0.127795377,-0.127795377,-0.122704775,-0.142044165,-0.122704775
peptide_nm_7,0.168436224,-0.349361608,-0.409718333,-0.786853578,0.686427305,0.358076453,-0.543029516,-0.006017236,-0.587472125,-0.891611243,-0.698152522,0.311940485,0.386821406,-0.192928682,-1.02221377,-0.941970114,-0.274967762,-0.904990079,-0.613242495,0.122683046,-0.114430528,-0.192618006,-0.247173403,0.156423672,0.190686763,-0.156596397,-0.148698086,-0.859623241,0.305303075,-0.269785318,-0.064149458,-0.81745804,0.367204274,-1.35716263,-0.742200616,-0.267115022,1.053724951,0.508354315,-0.150940586,-0.928285555,0.239108706,1.32540472,-0.373395461,0.057428176,5.634475785,-0.695363887,-0.757534262,0.057428176,0.207323494,-0.228783516,-0.092001114,-0.115428323,-0.341237372,-0.381000436,-0.136574307,-0.040125229,-0.290313589,-0.364690162,-0.0666134,-0.145262208,-0.343346489,0.176995495,0.34126188,0.074667604,0.294846986,0.307437125,-0.904439181,0.383216049,-0.261806088,-0.625845305,0.289877453,-0.592100823,0.698172039,-0.436650099,-0.50436532,0.224724385,0.606871036,0.741089334,0.480668704,-0.951532865,0.622552291,0.067845535,-0.200530192,-0.112601663,0.502003102,-0.087596604,-0.238164603,-0.729609356,-0.092359508,-0.196341641,0,-0.307770366,-0.256663501,-0.242694301,-0.293097322,-0.225054106,-0.222005948,-0.225054106,-0.222005948,-0.251147171,-0.209453975,-0.1632475,-0.150850937,-0.137447036,-0.132702912,-0.132702912,-0.132702912,-0.127795377,-0.127795377,-0.122704775,7.04006392,-0.122704775
peptide_nm_8,-1.267477109,-0.937190108,-1.019646606,-1.277165894,2.038890012,1.624168788,3.649080373,-1.342727781,-0.587472125,-0.466631042,-0.785118397,-1.758804797,-1.247618151,-0.131722454,0.04963301,0.864570879,-3.629689985,1.277697587,0.386269434,-0.795198307,-1.397439347,-1.158063778,-0.942170514,-0.95141769,-0.909085668,-0.112427107,-0.767768254,1.437241837,-0.768608,-0.522893487,-0.751509757,-1.265951675,-0.341101679,-0.745837646,-0.76213289,-0.267115022,-0.870296435,-1.577572689,-1.574094892,-0.496207014,-1.523668858,0.227027235,0.056211155,1.86435035,-0.314620249,0.334910679,1.102585666,1.86435035,1.341258027,0.957549906,1.199749689,-0.082884144,-0.654020593,-0.761540537,-1.802676399,-1.545968524,-0.097479498,-0.413711698,-1.097041,1.975362781,2.406411176,-0.870075311,1.852134475,2.158120158,-0.65189144,-2.229523083,1.468601879,-2.877329519,1.201781283,1.299289823,-1.944138622,0.748936472,2.096230376,0.198996966,1.620906701,2.12115439,-2.352068686,-0.96964668,-1.599820027,-0.07429976,0.75428941,0.791090483,-0.167226644,-0.064358604,-2.392232395,0.045821903,-0.216122521,-1.826494128,-0.041663209,0.496471071,0,-0.307770366,-0.256663501,-0.242694301,-0.293097322,-0.225054106,4.50438383,4.44337594,-0.222005948,3.981729105,-0.209453975,-0.1632475,-0.150850937,-0.137447036,-0.132702912,-0.132702912,-0.132702912,-0.127795377,-0.127795377,-0.122704775,-0.142044165,-0.122704775
peptide_nm_9,-0.328585041,-0.993173775,-1.177776158,-1.277165894,0.620066787,0.50431591,-1.042330198,-1.342727781,-2.704549819,0.67647096,1.485915286,0.871996859,-1.247618151,-0.131722454,0.692741078,0.864570879,1.716594037,-0.904990079,0.067185175,-2.017045849,-2.356286405,-2.317342669,-2.362523164,-2.44919191,-2.755302949,-0.112427107,-1.355933179,3.201417508,-0.346231851,-1.423326173,-1.482783891,2.159533099,-1.356192825,-1.458125558,-1.478457159,-0.267115022,-1.242107082,-0.34529657,-2.170888807,0.152916181,0.212572349,-0.431999256,1.345031001,-3.556416172,-0.314620249,0.953075419,-1.687594226,-3.556416172,-3.421267011,0.285360582,0.237918831,-0.082884144,-0.367373307,-0.909137517,-3.360177506,-3.460076513,1.059525046,0.002588035,-1.298018045,0.724344513,2.244747168,-0.884495736,0.51413388,1.2051428,-0.832907163,-1.938166101,0.636650183,-3.699435637,0.155432435,0.535862403,-1.788316086,0.234170897,0.805349297,-0.041634567,1.236482314,1.441145415,-0.878776021,-2.483054453,-2.2441242,1.173962535,-0.036133303,0.310855492,-0.167226644,-0.064358604,-3.131587457,0.045821903,-0.216122521,-0.676361627,-0.041663209,1.016080604,0,-0.307770366,-0.256663501,-0.242694301,-0.293097322,-0.225054106,-0.222005948,-0.225054106,-0.222005948,-0.251147171,-0.209453975,-0.1632475,-0.150850937,-0.137447036,-0.132702912,-0.132702912,-0.132702912,-0.127795377,-0.127795377,-0.122704775,-0.142044165,-0.122704775
peptide_nm_10,0.184683066,-1.063153358,-1.22295603,-1.277165894,-2.687357849,-1.130930198,0.036218523,-0.303064024,-0.164056586,-2.465954613,-0.869041721,0.670209173,-1.247618151,-0.107692857,1.46447076,0.438026478,0.584878013,2.732822697,0.453954915,-0.658849883,-0.966309918,-0.668752504,-0.588069449,-0.968417536,-1.250713445,-0.095086221,-0.377383052,1.405165916,-0.467334439,-0.754874694,-0.597547672,-0.204605489,-0.611659147,0.658165199,-0.055231941,-0.267115022,-0.790521277,-0.252785763,-0.531009888,-2.325209083,0.457241981,-1.222831045,1.345031001,-1.117071237,-0.306241564,0.953075419,-0.850540258,-1.117071237,-0.97196842,0.265719156,-0.808645367,-0.070107282,-0.516057901,-1.091362522,-1.913215989,-1.555938571,-1.601585406,1.659041007,0.50911215,1.489294369,0.872586967,0.43233215,2.339331064,1.789454305,0.365964373,-2.294171242,1.65744242,-0.915000951,1.188942135,1.689554075,-1.983585799,1.353605397,3.199803008,1.573366954,1.063229452,-0.013047114,-2.074871783,-1.424253167,-1.938846259,1.240272258,-0.273260117,0.416237215,-0.154151654,-0.045418355,-1.11923055,0.098202078,-0.207468788,2.204943584,-0.021759816,-0.75059181,0,-0.307770366,-0.256663501,-0.242694301,-0.293097322,-0.225054106,-0.222005948,-0.225054106,-0.222005948,-0.251147171,-0.209453975,-0.1632475,-0.150850937,-0.137447036,-0.132702912,-0.132702912,-0.132702912,-0.127795377,-0.127795377,-0.122704775,-0.142044165,-0.122704775
