,rbfsvm,lightgbm,gbc
peptide_1,0,0,0
peptide_2,0,0,0
peptide_3,0,0,0
peptide_4,0,0,0
peptide_5,0,0,0
peptide_6,0,0,0
peptide_7,0,0,0
peptide_8,0,0,0
peptide_9,0,0,0
peptide_10,0,0,0
peptide_11,0,0,0
peptide_12,0,0,0
peptide_13,0,0,0
peptide_14,0,0,0
peptide_15,0,0,0
peptide_16,0,0,0
peptide_17,0,0,0
peptide_18,0,0,0
peptide_19,0,0,0
peptide_20,0,0,0
peptide_21,0,0,0
peptide_22,0,0,0
peptide_23,0,0,0
peptide_24,0,0,0
peptide_25,0,0,0
peptide_26,0,0,0
peptide_27,0,0,0
peptide_28,0,0,0
peptide_29,0,0,0
peptide_30,0,0,0
peptide_31,0,0,0
peptide_32,0,0,0
peptide_33,0,0,0
peptide_34,0,0,0
peptide_35,1,1,1
peptide_36,0,0,0
peptide_37,0,0,0
peptide_38,0,0,0
peptide_39,0,0,0
peptide_40,1,1,1
peptide_41,1,1,1
peptide_42,0,1,0
peptide_43,0,0,0
peptide_44,1,1,0
peptide_45,0,0,0
peptide_46,0,0,0
peptide_47,0,0,0
peptide_48,0,0,0
peptide_49,0,0,0
peptide_50,0,0,0
peptide_51,0,0,0
peptide_52,0,0,0
peptide_53,0,0,0
peptide_54,0,0,0
peptide_55,0,1,1
peptide_56,0,0,0
peptide_57,0,0,1
peptide_58,0,0,0
peptide_59,0,0,0
peptide_60,0,0,0
peptide_61,0,1,1
peptide_62,0,0,0
peptide_63,0,0,0
peptide_64,0,0,0
peptide_65,0,0,0
peptide_66,1,1,1
peptide_67,0,0,0
peptide_68,1,0,1
peptide_69,0,0,1
peptide_70,0,0,0
peptide_71,0,0,0
peptide_72,0,0,0
peptide_73,0,0,0
peptide_74,0,0,1
peptide_75,0,0,0
peptide_76,0,0,0
peptide_77,1,1,1
peptide_78,0,0,0
peptide_79,1,1,0
peptide_80,0,1,1
peptide_81,0,0,0
peptide_82,0,1,1
peptide_83,0,0,0
peptide_84,0,0,0
peptide_85,0,0,0
peptide_86,0,0,0
peptide_87,1,0,0
peptide_88,0,0,0
peptide_89,0,0,0
peptide_90,0,0,1
peptide_91,0,0,1
peptide_92,0,0,0
peptide_93,1,1,0
peptide_94,0,0,0
peptide_95,0,0,0
peptide_96,1,1,1
peptide_97,0,0,0
peptide_98,0,0,0
peptide_99,0,1,1
peptide_100,1,1,1
peptide_101,0,0,0
peptide_102,0,0,1
peptide_103,1,1,1
peptide_104,0,0,1
peptide_105,1,1,1
peptide_106,1,1,1
peptide_107,0,1,0
peptide_108,1,1,1
peptide_109,1,1,1
peptide_110,0,0,0
peptide_111,0,0,0
peptide_112,1,1,1
peptide_113,1,1,1
peptide_114,0,0,0
peptide_115,1,1,1
peptide_116,0,0,1
peptide_117,0,0,0
peptide_118,1,1,1
peptide_119,1,1,1
peptide_120,0,0,0
peptide_121,0,1,0
peptide_122,1,1,1
peptide_123,1,1,1
peptide_124,1,1,1
peptide_125,0,1,1
peptide_126,1,1,1
peptide_127,0,1,1
peptide_128,0,1,1
peptide_129,0,0,0
peptide_130,1,1,0
