,rbfsvm,lightgbm,gbc
peptide_nv_1,0,0,0
peptide_nv_2,0,0,0
peptide_nv_3,1,0,1
peptide_nv_4,0,0,0
peptide_nv_5,0,0,0
peptide_nv_6,0,0,0
peptide_nv_7,0,0,0
peptide_nv_8,0,0,0
peptide_nv_9,0,0,0
peptide_nv_10,0,0,0
peptide_nv_11,0,0,0
peptide_nv_12,0,0,0
peptide_nv_13,0,0,0
peptide_nv_14,0,0,0
peptide_nv_15,0,0,0
peptide_nv_16,0,1,1
peptide_nv_17,0,0,0
peptide_nv_18,0,0,0
peptide_nv_19,0,0,0
peptide_nv_20,0,0,0
peptide_nv_21,0,0,0
peptide_nv_22,0,0,0
peptide_nv_23,0,0,0
peptide_nv_24,0,0,0
peptide_nv_25,0,0,0
peptide_nv_26,0,0,0
peptide_nv_27,0,0,0
peptide_nv_28,0,0,0
peptide_nv_29,0,0,0
peptide_nv_30,0,0,0
peptide_nv_31,0,0,0
peptide_nv_32,0,0,0
peptide_nv_33,0,0,0
peptide_nv_34,0,0,0
peptide_nv_35,0,0,0
peptide_nv_36,0,0,0
peptide_nv_37,0,0,0
peptide_nv_38,0,0,1
peptide_nv_39,0,0,0
peptide_nv_40,0,0,0
peptide_nv_41,0,0,0
peptide_nv_42,0,0,0
peptide_nv_43,0,0,0
peptide_nv_44,0,0,0
peptide_nv_45,0,0,0
peptide_nv_46,0,0,0
peptide_nv_47,0,0,0
peptide_nv_48,0,0,0
peptide_nv_49,0,0,0
peptide_nv_50,0,0,0
peptide_nv_51,0,0,0
peptide_nv_52,0,0,0
peptide_nv_53,0,0,0
peptide_nv_54,0,0,0
peptide_nv_55,0,0,0
peptide_nv_56,0,0,0
peptide_nv_57,0,0,0
peptide_nv_58,0,0,0
peptide_nv_59,0,0,1
peptide_nv_60,0,0,0
peptide_nv_61,0,0,0
peptide_nv_62,0,0,0
peptide_nv_63,0,1,0
peptide_nv_64,0,0,0
peptide_nv_65,0,0,0
peptide_nv_66,0,0,0
peptide_nv_67,0,0,0
peptide_nv_68,0,0,0
peptide_nv_69,0,0,0
peptide_nv_70,0,0,0
peptide_nv_71,0,0,0
peptide_nv_72,0,0,0
peptide_nv_73,0,0,0
peptide_nv_74,0,0,0
peptide_nv_75,0,0,0
peptide_nv_76,1,0,0
peptide_nv_77,0,0,0
peptide_nv_78,0,0,1
peptide_nv_79,0,0,0
peptide_nv_80,0,0,0
peptide_nv_81,0,0,0
peptide_nv_82,0,0,0
peptide_nv_83,0,0,0
peptide_nv_84,0,0,0
peptide_nv_85,0,0,0
peptide_nv_86,0,0,0
peptide_nv_87,0,0,0
peptide_nv_88,0,0,0
peptide_nv_89,0,0,0
peptide_nv_90,0,0,0
peptide_nv_91,0,0,0
peptide_nv_92,0,0,0
peptide_nv_93,0,0,0
peptide_nv_94,0,0,0
peptide_nv_95,0,0,0
peptide_nv_96,0,0,0
peptide_nv_97,0,0,0
peptide_nv_98,0,0,0
peptide_nv_99,0,0,0
peptide_nv_100,0,0,1
peptide_nv_101,0,0,0
peptide_nv_102,0,0,0
peptide_nv_103,0,0,1
peptide_nv_104,0,0,0
peptide_nv_105,0,0,0
peptide_nv_106,0,0,0
peptide_nv_107,0,0,0
peptide_nv_108,0,0,0
peptide_nv_109,0,0,0
peptide_nv_110,0,0,0
peptide_pv_1,1,1,1
peptide_pv_2,1,1,1
peptide_pv_3,1,1,1
peptide_pv_4,1,1,1
peptide_pv_5,1,1,1
peptide_pv_6,1,1,1
peptide_pv_7,1,1,1
peptide_pv_8,1,1,1
peptide_pv_9,1,1,1
peptide_pv_10,1,1,1
peptide_pv_11,1,1,1
peptide_pv_12,1,1,1
peptide_pv_13,1,1,1
peptide_pv_14,1,1,1
peptide_pv_15,1,1,1
peptide_pv_16,1,1,1
peptide_pv_17,1,1,1
peptide_pv_18,1,1,1
peptide_pv_19,1,1,1
peptide_pv_20,1,1,1
peptide_pv_21,1,1,1
peptide_pv_22,1,1,1
peptide_pv_23,1,1,1
peptide_pv_24,1,1,1
peptide_pv_25,1,1,1
peptide_pv_26,1,1,1
peptide_pv_27,1,1,1
peptide_pv_28,1,1,1
peptide_pv_29,1,1,1
peptide_pv_30,1,1,1
peptide_pv_31,1,1,1
peptide_pv_32,1,1,1
peptide_pv_33,1,0,0
peptide_pv_34,1,1,1
peptide_pv_35,1,1,1
peptide_pv_36,1,1,1
peptide_pv_37,1,1,1
peptide_pv_38,1,1,1
peptide_pv_39,1,1,1
peptide_pv_40,1,1,1
peptide_pv_41,1,1,1
peptide_pv_42,1,1,1
peptide_pv_43,1,1,1
peptide_pv_44,0,1,1
peptide_pv_45,1,1,1
peptide_pv_46,1,1,1
peptide_pv_47,1,1,1
peptide_pv_48,1,1,1
peptide_pv_49,1,1,1
peptide_pv_50,1,1,1
peptide_pv_51,1,1,1
peptide_pv_52,1,1,1
peptide_pv_53,1,1,1
peptide_pv_54,1,1,1
peptide_pv_55,1,1,1
peptide_pv_56,1,1,1
peptide_pv_57,1,1,1
peptide_pv_58,1,1,1
peptide_pv_59,1,1,1
peptide_pv_60,1,1,1
peptide_pv_61,1,1,1
peptide_pv_62,1,1,1
peptide_pv_63,1,1,1
peptide_pv_64,1,1,1
peptide_pv_65,1,1,1
peptide_pv_66,1,1,1
peptide_pv_67,1,1,1
peptide_pv_68,1,1,1
peptide_pv_69,1,1,1
peptide_pv_70,1,1,1
peptide_pv_71,1,1,1
peptide_pv_72,1,1,1
peptide_pv_73,1,1,1
peptide_pv_74,1,1,1
peptide_pv_75,1,1,1
peptide_pv_76,1,1,1
peptide_pv_77,1,1,1
peptide_pv_78,1,0,0
peptide_pv_79,1,1,1
peptide_pv_80,1,1,1
peptide_pv_81,1,1,1
peptide_pv_82,1,1,1
peptide_pv_83,1,1,1
peptide_pv_84,1,1,1
peptide_pv_85,1,1,1
peptide_pv_86,1,1,1
peptide_pv_87,1,1,1
peptide_pv_88,1,1,1
peptide_pv_89,1,1,1
peptide_pv_90,1,1,1
peptide_pv_91,1,1,1
peptide_pv_92,1,1,1
peptide_pv_93,1,1,1
peptide_pv_94,1,1,1
peptide_pv_95,1,1,1
peptide_pv_96,1,1,1
peptide_pv_97,1,1,1
peptide_pv_98,1,1,1
peptide_pv_99,1,1,1
peptide_pv_100,1,1,1
peptide_pv_101,1,0,0
peptide_pv_102,1,1,1
peptide_pv_103,1,1,1
peptide_pv_104,1,1,1
peptide_pv_105,1,1,1
peptide_pv_106,1,1,1
peptide_pv_107,1,1,1
peptide_pv_108,1,1,1
peptide_pv_109,1,1,1
peptide_pv_110,1,1,1
