,Moran_BIGC670101.lag3,formula_H,formula_C,ABHPRK__59,Moran_BHAR880101.lag1,NMBroto_BHAR880101.lag1,Z5__73,ABHPRK__60,CTDD_polarizability.2.residue50,Z5__4,Z5__65,Z5__5,ABHPRK__57,DDE_HS,ABHPRK__76,ABHPRK__77,Z5__56,ABHPRK__78,NMBroto_CHAM810101.lag2,Ez__26,Ez__25,Ez__24,Ez__23,Ez__22,Ez__21,DDE_VN,Z5__1,Boman_Index,Moran_CHOC760101.lag3,Ez__29,Ez__30,Flexibility,Ez__27,MSW__19,MSW__20,GTPC_uncharger.aromatic.postivecharger,APAAC_Pc1.L,Polarity,Z3__1,Z3__4,Z3__5,CTDC_solventaccess.G1,CTDC_polarity.G3,CTDC_polarity.G1,DDE_KG,CTDC_hydrophobicity_ENGD860101.G1,CTDC_hydrophobicity_CASG920101.G3,CTDC_hydrophobicity_PONP930101.G3,CTDC_hydrophobicity_PRAM900101.G3,Geary_CHOC760101.lag3,Geary_BIGC670101.lag3,DDE_QN,Moran_CHAM820101.lag3,Calculate_mw,Ez__19,Ez__17,CTDD_hydrophobicity_ENGD860101.1.residue50,Cougar__12,Cougar__26,Ez__10,Ez__11,Cougar__27,Ez__9,Ez__15,Cougar__28,Cougar__24,Ez__12,Z5__31,Ez__8,Ez__7,Cougar__23,Cougar__15,Ez__14,Cougar__14,Ez__6,Ez__2,Cougar__8,Cougar__21,Cougar__22,Cougar__1,CTDD_charge.1.residue25,Geary_CHAM820101.lag3,DDE_KP,DDE_IQ,Z3__21,DDE_PP,DDE_II,Geary_BHAR880101.lag1,DDE_CC,CTDD_hydrophobicity_FASG890101.1.residue50,y,MotifBitVec_FKK,MotifBitVec_LKL,MotifBitVec_KKLL,MotifBitVec_KWK,MotifBitVec_VLK,MotifBitVec_CYCR,MotifBitVec_CRR,MotifBitVec_RFC,MotifBitVec_RRR,MotifBitVec_LKKL,MotifBitVec_ALW,MotifBitVec_GCS,MotifBitVec_AAAK,MotifBitVec_KLLS,MotifBitVec_LGKL,MotifBitVec_LLKKV,MotifBitVec_AKAAL,MotifBitVec_KVLKA,MotifBitVec_HIF,MotifBitVec_KKG,MotifBitVec_QN
peptide_nv_1,-1.04576135,-0.891608859,-0.7549222,-0.539711214,-1.576910949,-1.939651256,1.657868566,-0.668712466,-1.676801918,0.214762094,-0.567519181,-0.202821725,-0.474497356,-0.077069281,-1.43512151,-0.740419436,1.782974062,-0.968842826,0.045466143,-0.582103598,-1.268429004,-0.845918823,-1.043842441,-0.777739345,-0.834888386,-0.114742233,-0.38363166,0.089608102,-1.533146592,-0.840216097,-1.109294593,-0.631615085,-0.770756838,1.34141762,0.567222423,2.013113562,-0.79893057,-0.758338321,-0.582816173,0.139174033,-0.416772086,-0.092437125,-0.80541549,-0.983166574,-0.359051867,0.694054098,0.203637134,-0.983166574,-0.886796682,1.835926247,1.35180499,-0.020741,-1.371325688,-0.803120432,-0.385943186,-0.313739174,0.635350598,-0.980338514,-2.338046629,-0.850702565,0.104978784,-2.799565949,-0.789545884,-0.572809971,-3.024861035,0.824983831,-0.167311969,-0.409175183,-0.992244952,-0.982339394,0.905000276,-1.751579953,-0.426055958,-1.30912268,0.426969126,-0.881084243,-1.217337417,0.072792281,0.004064795,0.267494192,0.517772568,1.759795276,-0.178076685,-0.075648825,0.364728636,0.055741288,-0.287185163,1.593413688,-0.050053646,-0.293730125,0,-0.313625024,-0.273617087,-0.228814381,-0.323103086,-0.159719141,-0.1424941,-0.175411604,-0.123091491,-0.216506351,-0.203594639,-0.070710678,-0.175411604,-0.123091491,-0.100250941,-0.100250941,0,-0.070710678,-0.070710678,-0.100250941,-0.123091491,-0.070710678
peptide_nv_2,-0.049274241,-0.628832641,-0.7549222,0.220689887,0.258270039,0.00189792,0.121740734,1.533794734,-0.257627176,-0.441826532,-1.001505375,1.48612714,0.340974328,-0.077069281,0.396529193,-0.005509097,-0.102681915,0.402772649,-0.033857488,0.64963362,1.151006702,0.663309552,-0.08603196,-0.059075504,0.568591323,-0.114742233,0.686282918,-0.301813029,-1.106264188,-0.139863532,1.475786108,-0.849850705,-0.460781256,-0.65251856,0.497489597,-0.377022694,0.308922505,0.849720859,1.016864842,-0.54213829,1.711510364,-0.092437125,1.093771871,0.245284642,-0.359051867,0.694054098,0.203637134,0.245284642,0.360307684,0.135945602,-0.865552799,-0.020741,-0.471087839,-0.790524687,0.657453232,0.529458943,0.635350598,0.557528997,0.781094129,-0.084195378,-0.476578477,0.863479174,0.934526608,-0.960427647,0.871064649,0.234685365,1.52334516,0.66038062,0.358854994,0.883683637,0.385149743,0.604926489,0.759346565,0.908836415,0.405704042,-0.478373378,-0.036589378,-0.22772319,-0.172068005,-0.32088344,-0.229072081,-0.497979517,-0.178076685,-0.075648825,0.115244076,0.055741288,-0.287185163,-0.307010071,-0.050053646,0.663424354,0,-0.313625024,-0.273617087,-0.228814381,-0.323103086,-0.159719141,-0.1424941,-0.175411604,-0.123091491,-0.216506351,-0.203594639,-0.070710678,-0.175411604,-0.123091491,-0.100250941,-0.100250941,0,-0.070710678,-0.070710678,-0.100250941,-0.123091491,-0.070710678
peptide_nv_3,-1.785292674,-0.69066234,-0.650580194,0.082435141,0.036747238,0.296379665,1.499598242,0.579374948,0.451960195,-0.135371927,-0.823029829,1.116961233,0.968260239,-0.092188616,-1.565953703,-1.475329775,0.84403461,-0.968842826,-0.351420271,0.381588321,1.392247554,0.959063084,0.693139849,1.172344985,1.272353008,-0.122359758,0.632519965,-1.242251681,-1.49355611,0.326150582,0.418686105,1.104509424,0.288670072,0.286189855,0.764212422,-0.377022694,1.239558134,0.68357839,0.625697953,-0.290894835,1.279498003,0.763841122,-0.94107173,0.552397446,-0.362592821,-0.136793752,-0.561458707,0.552397446,0.672083775,1.808407516,2.023670803,-0.029892896,-1.481075938,-0.776896318,1.781540805,2.137185002,-1.132351756,-2.446202166,-2.143634695,-1.557614911,-1.112233303,-1.900331245,-0.198384726,-1.258104888,-1.720414474,0.767324925,-1.093871723,0.99630663,-0.836953701,-1.052162941,0.520105168,-1.810842244,-0.377253505,-1.998215232,-1.152297394,-0.582233685,0.914462519,0.991892724,1.307588369,-1.354636867,-0.309091151,1.771708715,5.536737899,-0.084335412,1.047992134,0.027543593,-0.291637317,-0.386617671,-0.059385993,-1.35343687,0,-0.313625024,3.654742516,-0.228814381,-0.323103086,-0.159719141,-0.1424941,-0.175411604,-0.123091491,-0.216506351,-0.203594639,-0.070710678,-0.175411604,-0.123091491,-0.100250941,-0.100250941,0,-0.070710678,-0.070710678,-0.100250941,-0.123091491,-0.070710678
peptide_nv_4,1.416536011,1.256973159,0.966720899,-0.286244181,-0.385053391,-0.434300464,-0.82809279,-0.719344815,0.358782056,0.086120026,0.483038493,-0.269953215,-0.678365277,-0.311449201,0.100504837,-0.097372889,-0.096225561,-0.482140561,-0.257671919,-0.37011196,-0.650656209,-0.658376716,-0.449779951,-0.352580254,-0.475350794,-0.232829117,-1.470148487,-0.331223141,1.21127,-0.235300436,-0.417782568,0.196982168,-0.2876275,-0.659679352,-1.498932985,-0.377022694,0.193186347,-1.228361752,-1.417184117,0.034605087,-0.196616043,-0.035078773,-0.709496937,-1.020392369,1.644377142,-1.049798807,-0.749834577,-1.020392369,-0.924587723,-1.18279746,-1.274561519,-0.162613681,1.075946041,1.179415823,-0.613349677,-0.582745776,0.048445468,0.355799733,0.673486431,-0.072103438,0.284528575,0.735384503,-0.419446476,-0.199750823,0.714646986,0.489788807,-0.041183721,0.092412217,-0.497402489,-0.03191352,0.339635509,0.441534655,-0.48689116,0.179225341,0.190632826,0.147875068,0.319043239,0.365008122,0.159852222,-0.305231733,-0.319598706,-0.980407743,-0.275322348,-0.210308296,0.412066054,-0.381379373,-0.356202452,0.420113665,-0.194723698,0.141340092,0,-0.313625024,-0.273617087,-0.228814381,-0.323103086,-0.159719141,-0.1424941,-0.175411604,-0.123091491,-0.216506351,-0.203594639,-0.070710678,-0.175411604,-0.123091491,-0.100250941,-0.100250941,0,-0.070710678,-0.070710678,-0.100250941,-0.123091491,-0.070710678
peptide_nv_5,-0.769062012,1.952557265,1.801456948,-0.793178248,0.636014732,0.372371838,-0.23415101,-0.491499243,0.545138335,0.088840879,0.228879963,0.050975992,-0.372563396,5.5476951,1.303103784,2.107358128,0.235961842,1.708019633,0.48831987,-1.348508386,-1.260819674,-1.453634998,-1.412639174,-1.136923658,-1.221617075,-0.232829117,-0.829179738,0.531797469,-0.271203245,-1.185494266,-1.300205611,-1.062353391,-1.127046999,-1.398308116,-1.113517769,-0.377022694,-0.86492273,-0.075734571,-0.289260792,0.382938063,0.223723429,-1.277843055,1.534997217,-1.504327697,-0.413943737,1.120741511,-0.486108359,-1.504327697,-1.415871261,0.176855658,0.634817436,-0.162613681,-0.832889376,1.678309461,-0.269632723,-0.315515167,1.955887139,1.205556492,1.319390029,0.665158041,0.655466862,1.2343128,0.679394328,0.144157897,1.19732725,-0.832223531,0.082822837,-0.133859807,1.123138805,1.128131733,-0.766900707,0.957436008,-0.12322655,0.996662741,1.454779966,2.358188494,-1.053045788,-1.09654849,-0.747832977,0.682726721,0.268824352,0.831518506,-0.275322348,-0.210308296,-0.749879884,-0.381379373,-0.356202452,-0.509076017,-0.194723698,1.838113942,0,-0.313625024,-0.273617087,-0.228814381,-0.323103086,-0.159719141,-0.1424941,-0.175411604,-0.123091491,-0.216506351,-0.203594639,-0.070710678,-0.175411604,-0.123091491,-0.100250941,-0.100250941,0,-0.070710678,-0.070710678,-0.100250941,-0.123091491,-0.070710678
peptide_nv_6,-1.06726136,1.797983019,1.853627951,-0.736852241,0.06512632,-0.045862724,-0.33250518,-0.386339748,1.681911638,-0.113131737,-0.324411026,-0.334222205,-0.277659363,-0.282408739,0.70180431,0.653376035,0.655955717,0.647703984,0.410147566,-1.046107986,-0.989803129,-0.908496667,-1.122207456,-0.672263405,-0.738834734,-0.218197754,-0.11643505,0.61767263,-0.362336662,-1.172006752,-1.190931513,-0.38186588,-1.040726398,-0.223421897,-0.355267642,-0.377022694,-0.809594818,0.340298157,0.220939978,-0.224175787,-0.187508961,-0.954724342,0.861648971,-0.512260275,-0.407142449,1.000155938,0.22595243,-0.512260275,-0.408740008,0.715909964,1.262939348,-0.145035178,-0.849369932,1.553327896,-0.132369135,0.217157147,-0.333042866,0.572861561,-0.252256639,1.201758323,0.449912658,-0.311564638,0.941476877,0.772013709,-0.222212971,-1.465728794,0.542821648,-0.140690753,1.24787622,1.218404193,-0.687971615,0.535725159,0.757370041,0.822082179,0.819525259,0.962136136,-0.042446212,-0.823669969,-0.976717483,0.651187883,-0.540257352,1.046461073,3.567189805,-0.193623533,-0.617728261,-0.32721865,-0.347650977,0.012076245,-0.176798591,-0.405398148,0,3.188521078,-0.273617087,-0.228814381,-0.323103086,-0.159719141,-0.1424941,-0.175411604,-0.123091491,-0.216506351,-0.203594639,-0.070710678,-0.175411604,-0.123091491,-0.100250941,-0.100250941,0,-0.070710678,-0.070710678,-0.100250941,-0.123091491,-0.070710678
peptide_nv_7,-0.519785576,-0.999810831,-1.276632231,-0.213825028,-1.448109237,-1.094847385,-0.46675732,-0.301627932,1.066935917,0.692661146,0.03842835,-0.47416082,-0.202673461,-0.027462181,0.70180431,-0.495449323,0.437074183,-0.025857187,0.525455794,-0.06630087,-0.793115627,-1.221832855,-1.490046117,-0.516239899,-0.614330253,-0.089748846,0.515150542,1.405832093,1.491015978,-0.791158103,-0.821529556,-0.332417689,0.098348617,-0.303193902,-0.492957355,-0.377022694,-0.351046642,0.179299232,0.059094211,0.805277212,-0.830059187,-0.407908058,1.410303098,-0.246095844,-0.347433865,1.000155938,-0.93444293,-0.246095844,-0.138534063,-0.876294813,1.484342272,0.00928671,0.638726238,-1.154076476,-1.833391966,-1.339365627,-1.032438145,0.551857633,-0.549140359,1.160308664,0.781740522,-0.2746292,1.072586626,1.642225886,-0.166448041,-2.702668754,0.574397679,-1.370278593,0.545459013,0.92294667,-1.841257773,0.243145675,0.266600853,1.33422144,0.690677074,-0.784634884,-0.518672971,-1.381996405,-1.011605288,0.730435483,-0.863890034,0.023524735,-0.157494396,-0.047147809,-1.735313336,0.148258976,-0.27257748,1.35171552,-0.019433865,-0.820165089,0,-0.313625024,-0.273617087,-0.228814381,-0.323103086,-0.159719141,-0.1424941,-0.175411604,-0.123091491,-0.216506351,-0.203594639,-0.070710678,-0.175411604,-0.123091491,-0.100250941,-0.100250941,0,-0.070710678,-0.070710678,-0.100250941,-0.123091491,-0.070710678
peptide_nv_8,-0.253959416,-0.536088094,-0.441896182,-0.608838587,-1.923065747,-2.881588054,1.137904277,-0.742129372,-1.305113295,-1.205436479,2.11215203,-1.917577092,-1.28996904,-0.092188616,0.70180431,-0.118572226,-0.847221829,1.545785545,0.175806417,-0.953356773,-1.047147555,-0.834581351,-1.02975935,-1.426209832,-0.891166955,-0.122359758,0.351041714,1.424749852,0.16987419,-0.912190666,-0.833253501,-0.987697076,-1.176014681,0.807287668,-0.190750363,1.81393554,-0.790002112,-0.832417462,0.273457121,-1.1388381,-1.940841137,-0.993782648,1.410303098,-0.017954904,-0.362592821,1.000155938,0.681822035,-0.017954904,0.093071034,-0.688529641,-0.375940132,-0.029892896,0.096047682,-0.392930344,-1.192919484,-1.195232989,-0.6327837,-0.32591739,0.485150092,1.030441524,1.005813618,0.499332787,1.489373198,1.616400281,0.602411336,-2.314800954,1.824488643,-1.558208482,1.315564583,1.641290999,-2.626162953,-0.633305832,1.526846315,0.374649313,1.045701399,0.00357698,-1.678033168,-1.56286554,-1.647018115,0.450106416,-0.655840453,-0.294075792,-0.18434979,-0.084335412,-1.627152264,0.027543593,-0.291637317,1.780639074,-0.059385993,-0.464650568,0,-0.313625024,-0.273617087,-0.228814381,-0.323103086,-0.159719141,-0.1424941,5.700877125,-0.123091491,-0.216506351,-0.203594639,-0.070710678,-0.175411604,-0.123091491,-0.100250941,-0.100250941,0,-0.070710678,-0.070710678,-0.100250941,-0.123091491,-0.070710678
peptide_nv_9,-0.356666792,0.561389052,0.705865884,-0.308284792,1.43383016,1.338370636,-0.678414262,-0.50185586,-1.203743671,0.373637536,0.90780148,-0.480422552,-0.115689815,-0.241239072,0.70180431,1.346725927,0.58534203,1.231456998,-0.661420844,-0.455894258,-0.264818316,-0.104069988,0.141647676,-0.04851019,-0.148243066,-0.197455372,-0.064053822,0.658100697,-0.243554398,-0.369539541,-0.359500447,-1.106178123,-0.136117941,-0.82556304,-0.43247655,-0.377022694,0.012826039,-0.274659284,-0.256468452,0.248618037,-0.415652998,-0.723378991,0.777240644,-0.983166574,-0.397500497,0.387952259,-0.800551157,-0.983166574,-0.886796682,0.187122291,0.264190324,-0.120114736,-0.472002648,0.812266871,0.206516912,0.284997214,0.904348782,0.247391526,1.831882254,-0.12031227,0.443359061,1.597468165,-0.269326618,-0.150298052,1.621463342,0.42932058,-0.347681271,-0.217200017,-0.326403667,-0.08952954,0.018955099,0.005399522,-0.317668222,0.163588846,0.079048947,1.214151235,-0.794613992,-0.232141855,-0.266406593,0.522126428,1.264617218,0.372123475,-0.246191735,-0.169970118,-0.007695382,-0.25043685,-0.335527845,-1.385502814,-0.151386781,2.577733312,0,-0.313625024,-0.273617087,-0.228814381,-0.323103086,-0.159719141,-0.1424941,-0.175411604,-0.123091491,-0.216506351,-0.203594639,-0.070710678,-0.175411604,-0.123091491,-0.100250941,-0.100250941,0,-0.070710678,-0.070710678,-0.100250941,-0.123091491,-0.070710678
peptide_nv_10,0.313525717,-0.11873763,-0.076699161,-0.824861627,-0.274283815,-0.567243191,-0.091547942,-0.962380092,1.584810209,-0.099711058,-0.118476909,-0.492718173,-0.746321251,-0.160286112,0.075186965,-0.005509097,0.184263246,-0.968842826,0.101821052,-0.898900698,-0.849049805,-1.307716633,-1.663661553,-1.289237251,-1.253553533,-0.156669102,-0.609562392,0.166856569,0.496986095,-1.225874563,-0.709240973,1.193790056,-1.010783382,-0.497029546,-1.814896991,-0.377022694,-0.239953383,0.531120999,-0.366636843,-0.103528763,-0.44574404,0.239637542,0.760581106,-1.338770874,2.365886557,0.371841635,-0.43058705,-1.338770874,-1.247800577,-0.519586628,-0.378370597,-0.071113041,0.815711029,-0.105543098,-1.228863491,-1.32669424,-0.185801754,0.750054602,1.251315348,0.429456108,0.017182694,1.097149051,0.546019832,-0.151796679,1.12518826,-0.528676744,-0.277887626,-0.33439353,0.496280103,0.077946044,-0.442554302,0.772186159,0.806339509,0.54593248,0.501182951,0.177521515,-0.076459418,-0.429176678,-0.357170531,0.288027889,-0.5828406,-0.847576884,-0.212603857,-0.123459808,-0.328809649,-0.099458851,-0.311689822,0.33650256,-0.101418896,-0.394483228,0,-0.313625024,-0.273617087,-0.228814381,-0.323103086,-0.159719141,-0.1424941,-0.175411604,-0.123091491,-0.216506351,-0.203594639,-0.070710678,-0.175411604,-0.123091491,-0.100250941,-0.100250941,0,-0.070710678,-0.070710678,-0.100250941,-0.123091491,-0.070710678
