,CKSAAP_FA.gap3,CTriad_g2.g5.g3,CKSAAP_RF.gap3,DDE_RR,DPC_KG,CKSAAP_NR.gap2,CKSAAP_EL.gap2,GTPC_uncharger.alphaticr.postivecharger,GTPC_uncharger.postivecharger.uncharger,CTDC_solventaccess.G1,CKSAAP_RC.gap1,formula_H,CKSAAP_VD.gap1,CKSAAP_FA.gap1,formula_C,DDE_CR,CKSAAP_TP.gap3,CKSAAP_PF.gap1,CKSAAP_GK.gap3,DDE_LD,DPC_KV,CTDT_hydrophobicity_FASG890101.Tr1331,CTDD_hydrophobicity_ZIMJ680101.2.residue0,CKSAAGP_alphaticr.negativecharger.gap2,CKSAAP_KK.gap1,CTDD_polarity.2.residue25,DDE_HS,ABHPRK__24,CTDD_hydrophobicity_FASG890101.3.residue50,Calculate_mw,CKSAAGP_aromatic.postivecharger.gap0,Cougar__5,CTDC_polarizability.G1,Moran_BIGC670101.lag3,CKSAAP_FK.gap3,CTDD_hydrophobicity_PRAM900101.2.residue75,CKSAAP_TY.gap2,CKSAAGP_uncharger.aromatic.gap2,CTDD_hydrophobicity_ARGP820101.1.residue100,CTDC_hydrophobicity_ZIMJ680101.G2,Z5__17,QSO3_SC_R,CTDC_hydrophobicity_ARGP820101.G2,CKSAAGP_alphaticr.postivecharger.gap2,DDE_VK,CTDD_hydrophobicity_PONP930101.3.residue25,Ez__3,CTDD_polarity.3.residue100,CTDD_hydrophobicity_ZIMJ680101.2.residue50,DDR_L,DDE_SA,CKSAAGP_aromatic.alphaticr.gap4,CTDT_hydrophobicity_PONP930101.Tr1221,Z5__1,Ez__12,CTDD_charge.1.residue75,QSO3_SC_L,Geary_CIDH920105.lag2,CTDD_hydrophobicity_PRAM900101.2.residue0,DDE_KV,CKSAAGP_postivecharger.alphaticr.gap3,Ez__5,GTPC_alphaticr.alphaticr.postivecharger,Ez__2,NMBroto_CIDH920105.lag3,NMBroto_CHAM820102.lag1,CTDC_hydrophobicity_PONP930101.G3,Moran_CHAM810101.lag1,Geary_CHAM820102.lag2,CKSAAGP_aromatic.alphaticr.gap2,APAAC_Pc1.T,CKSAAP_WL.gap3,CTDD_charge.1.residue50,CKSAAGP_negativecharger.postivecharger.gap5,Moran_CIDH920105.lag2,CTDD_hydrophobicity_PONP930101.2.residue75,DDE_LS,CTDC_hydrophobicity_CASG920101.G3,CTDC_hydrophobicity_PRAM900101.G3,NMBroto_DAYM780201.lag1,CTDD_hydrophobicity_ENGD860101.2.residue75,DDE_RL,Z3__8,QSO3_SC2,Geary_BIGC670101.lag3,Moran_CHAM820101.lag3,CTDD_secondarystruct.1.residue25,NMBroto_CIDH920105.lag1,Z5__22,CTDT_hydrophobicity_PRAM900101.Tr1221,CKSAAGP_postivecharger.uncharger.gap5,CTDD_solventaccess.1.residue25,CKSAAP_KG.gap3,Z5__5,Z5__24,DDE_RA,Boman_Index,Moran_CHAM810101.lag3,Cougar__2,CKSAAP_SL.gap2,CTDD_hydrophobicity_FASG890101.2.residue25,Geary_BIGC670101.lag1,CKSAAGP_postivecharger.uncharger.gap0,DDE_RG,CKSAAGP_aromatic.postivecharger.gap5,NMBroto_CHAM810101.lag2,CTDD_hydrophobicity_ZIMJ680101.2.residue25,CTDD_normwaalsvolume.1.residue100,CTriad_g1.g2.g5,Ez__11,APAAC_Pc1.F,CTDD_hydrophobicity_ARGP820101.2.residue50,Geary_CHAM820101.lag3,CKSAAGP_alphaticr.alphaticr.gap3,Ez__6,CTDC_hydrophobicity_ENGD860101.G1,Geary_CHOC760101.lag3,Z5__11,Moran_CHOC760101.lag1,CTDC_hydrophobicity_PONP930101.G1,CKSAAGP_postivecharger.uncharger.gap1,ABHPRK__27,CTDD_polarizability.1.residue75,Flexibility,CTDD_hydrophobicity_PONP930101.1.residue50,DDE_LH,MSW__7,CKSAAGP_alphaticr.postivecharger.gap5,NMBroto_CHAM820102.lag2,CKSAAGP_aromatic.uncharger.gap1,MotifBitVec_FKK,MotifBitVec_LKL,MotifBitVec_KKLL,MotifBitVec_KWK,MotifBitVec_VLK,MotifBitVec_CYCR,MotifBitVec_CRR,MotifBitVec_RFC,MotifBitVec_RRR,MotifBitVec_LKKL,MotifBitVec_ALW,MotifBitVec_GCS,MotifBitVec_AAAK,MotifBitVec_KLLS,MotifBitVec_LGKL,MotifBitVec_LLKKV,MotifBitVec_AKAAL,MotifBitVec_KVLKA,MotifBitVec_HIF,MotifBitVec_KKG,MotifBitVec_QN,y
HMP3_trainN_1,-0.327688651,-0.328500044,-0.120528426,-0.235954829,-0.355967201,-0.124089623,-0.097558339,-0.451160115,-0.305900806,0.469082142,-0.255181109,-1.663974011,-0.158759792,-0.20585997,-1.527088152,-0.133803591,-0.193858307,-0.200820692,-0.418409507,-0.053366902,-0.394507499,0.970453371,2.360160371,-0.429710343,-0.40255247,-1.157099306,-0.010900334,1.243208852,-2.379292219,-1.549527271,-0.652452462,-1.770654471,-1.621699059,-3.977433025,-0.239403439,-2.181363799,-0.099042587,-0.483960387,-2.155911389,0.810538088,-3.262315212,-0.682927226,-0.312104429,-1.223285622,-0.203268802,0.239784399,-0.429309533,-0.852832434,0.984877433,-0.857047621,-0.072342908,-0.649811903,-1.221975967,2.068231852,-0.99064953,-0.005318802,-0.306474967,1.329437559,-0.900079873,-0.369670524,-0.932933127,-1.547581252,-0.877269743,0.486439837,1.000555995,-0.212103892,1.508643911,-1.107708379,1.858528073,-0.881790321,-0.627224315,-0.26413321,0.917855482,-0.215050671,-2.060926553,-2.094328816,-0.088462853,1.771987545,1.674387808,2.604089688,-1.335438268,-0.062254421,-0.097048349,-1.343187062,3.0188691,-3.847322636,2.215903492,0.668748642,-3.882762527,-1.417337065,-0.59882883,0.101774488,-0.363102485,-0.837400601,1.818693086,0.072523837,-0.426324072,-1.117588493,-1.116892984,-0.285291999,-0.960087204,-0.591469358,-0.812539867,-0.070309381,-0.590837018,0.375616064,2.241708584,-2.657961798,-0.433119557,-0.099568607,-0.997291363,1.14380691,2.960464111,-1.401460768,-0.017032816,0.144885532,3.341796594,1.72174504,-1.097912894,0.3800233,-0.748673208,3.27726922,-1.85740662,0.758983918,1.047911639,-0.130707873,1.65036219,-1.201414844,-0.964081689,-0.582729672,-0.342700844,-0.239143351,-0.183156561,-0.260109142,-0.216623097,-0.159237486,-0.183156561,-0.16426846,-0.224331619,-0.18761663,-0.115379595,-0.178599907,-0.115379595,-0.100738878,-0.104582503,-0.096749028,-0.111890848,-0.100738878,-0.115379595,-0.111890848,-0.145980072,0
HMP3_trainN_2,-0.327688651,-0.328500044,-0.120528426,-0.247352719,-0.355967201,-0.124089623,-0.097558339,-0.451160115,-0.305900806,-0.323930849,-0.255181109,-1.499217127,-0.158759792,-0.20585997,-1.506505348,-0.143995089,-0.193858307,-0.200820692,-0.418409507,-0.070492166,-0.394507499,1.607255323,0.789056516,-0.429710343,-0.40255247,-1.157099306,-0.029371208,0.738296694,-2.710683059,-1.500036435,-0.652452462,-0.790848918,-1.621699059,-1.218462396,-0.239403439,-2.181363799,-0.099042587,-0.483960387,-2.155911389,1.613448365,-1.300405892,-0.682927226,0.409555122,-1.223285622,-0.209182943,-0.111836014,0.505227869,0.704265534,-0.54961443,-0.857047621,-0.096528507,-0.649811903,-1.221975967,1.365135291,-1.183259389,-0.494892565,0.451397357,1.944831403,-0.900079873,-0.373823342,-0.932933127,-0.763078868,-0.877269743,-0.400996548,1.350461534,-0.280602021,0.65129577,-1.282082644,2.736657295,-0.881790321,-0.627224315,-0.26413321,-0.448726403,-0.215050671,-2.382179281,-2.094328816,-0.113877869,-0.298184833,0.811292258,2.377512483,0.589996728,-0.082770164,-0.387741708,-0.760413147,0.62300105,-1.471003993,-0.531602845,-0.005660317,-3.544185744,-1.417337065,-0.59882883,-0.312341414,-0.363102485,-0.370758575,1.308067183,0.044279446,-0.172583124,-1.771728712,-1.076158356,-0.285291999,-0.960087204,0.994563162,-0.812539867,-0.092403659,-0.590837018,0.438078915,0.591829629,-2.657961798,-0.433119557,-0.336468811,-0.997291363,-0.969039,0.851421458,1.587488182,-0.442374758,0.87853491,1.751345816,-0.543124126,-1.486632126,1.059024572,-0.748673208,0.741856713,-1.85740662,2.843918274,-0.485565638,-0.143568912,-0.29809325,-1.201414844,-0.852631512,-0.582729672,-0.342700844,-0.239143351,-0.183156561,-0.260109142,-0.216623097,-0.159237486,-0.183156561,-0.16426846,-0.224331619,-0.18761663,-0.115379595,-0.178599907,-0.115379595,-0.100738878,-0.104582503,-0.096749028,-0.111890848,-0.100738878,-0.115379595,-0.111890848,-0.145980072,0
HMP3_trainN_3,-0.327688651,-0.328500044,-0.120528426,4.216291293,-0.355967201,-0.124089623,-0.097558339,-0.451160115,-0.305900806,-0.323930849,-0.255181109,-1.52456434,-0.158759792,-0.20585997,-1.300677311,-0.143995089,-0.193858307,-0.200820692,-0.418409507,-0.070492166,-0.394507499,-0.939952488,-1.174823303,-0.429710343,-0.40255247,-1.157099306,-0.029371208,2.757945326,2.260179545,-1.293399624,-0.652452462,-0.947894214,-1.621699059,-3.836530483,-0.239403439,-2.181363799,-0.099042587,-0.483960387,-2.155911389,-2.401103018,-4.329492964,2.461873479,0.409555122,-1.223285622,-0.209182943,5.162470175,-0.04827561,-3.188479387,-2.46772926,-1.1539262,-0.096528507,-0.649811903,-1.221975967,3.185959636,0.608672373,-1.310848835,-1.214775371,-1.200343882,-0.900079873,-0.373823342,-0.932933127,0.510789139,-0.877269743,3.213718329,-3.957484208,1.659172967,0.65129577,3.259996689,-0.886824853,-0.881790321,-0.627224315,-0.26413321,-1.302840081,-0.215050671,0.859464328,-0.748257908,-0.113877869,2.659204279,0.811292258,4.004196933,1.277652084,-0.082770164,6.84174046,-2.185164896,2.818994394,-3.648681564,-0.531602845,4.832236339,-4.613716628,-1.417337065,-0.59882883,5.899397117,-0.363102485,-3.706153632,2.16230397,0.044279446,3.007776875,-4.076616601,0.877469011,-0.285291999,-0.960087204,-2.930860909,-0.812539867,-0.092403659,-0.590837018,0.256153587,-1.470519064,-2.657961798,-0.433119557,-0.158090596,-0.997291363,-2.289567694,2.667549089,-1.401460768,0.68108097,0.87853491,2.785334209,4.467826284,2.793828412,-2.33598179,-0.748673208,4.363874581,-1.85740662,0.421258829,-2.402412234,-0.143568912,1.981767948,-1.201414844,0.250202157,-0.582729672,-0.342700844,-0.239143351,-0.183156561,-0.260109142,-0.216623097,-0.159237486,-0.183156561,-0.16426846,4.457686366,-0.18761663,-0.115379595,-0.178599907,-0.115379595,-0.100738878,-0.104582503,-0.096749028,-0.111890848,-0.100738878,-0.115379595,-0.111890848,-0.145980072,0
HMP3_trainN_4,-0.327688651,-0.328500044,-0.120528426,-0.2576572,-0.355967201,-0.124089623,-0.097558339,-0.451160115,-0.305900806,-0.8903687,-0.255181109,-1.347133849,-0.158759792,-0.20585997,-1.383008526,-0.153208907,-0.193858307,-0.200820692,-0.418409507,-0.085974588,-0.394507499,0.970453371,0.508502256,-0.429710343,-0.40255247,-1.157099306,-0.046070155,0.401688589,-2.947390802,-1.384955875,-0.652452462,-0.374234391,-1.621699059,-1.77368359,-0.239403439,-2.181363799,-0.099042587,-0.483960387,-2.155911389,2.186955705,-0.977933594,-0.682927226,0.92502623,-1.223285622,-0.214529735,-0.362993451,1.232396638,0.704265534,-0.001581622,-0.831812941,-0.11839396,-0.649811903,-1.221975967,0.910193354,-1.630694726,1.253585159,0.290344245,1.897949114,-0.900079873,-0.377577775,-0.932933127,-0.268397427,-0.877269743,1.232468257,0.039265036,-0.129119408,0.03890424,-0.783134959,2.596756589,-0.881790321,-0.627224315,-0.26413321,0.039338556,-0.215050671,-2.192112424,-2.094328816,-0.136854799,-0.509426912,0.194795437,2.07338614,0.19705081,-0.101317813,-0.150384741,-0.355080843,3.325283836,-1.811131339,-0.811960635,0.264663336,-3.596868939,-1.417337065,-0.59882883,-0.608138487,-0.363102485,-0.715168298,0.863546775,0.018744565,0.2207481,-1.027716099,-0.529252132,-0.285291999,-0.960087204,0.907169459,-0.812539867,-0.112378413,-0.590837018,0.475556625,0.297208387,-2.657961798,-0.433119557,-0.930735219,-0.997291363,-0.214451175,3.196353775,0.591171866,-0.163410097,1.402570179,3.052644827,-0.811762339,-1.44133495,1.544025481,-0.748673208,0.483141151,-1.85740662,1.893253173,0.062104818,-0.155196181,-0.892669747,7.872209656,-0.785761406,-0.582729672,-0.342700844,-0.239143351,-0.183156561,-0.260109142,-0.216623097,-0.159237486,-0.183156561,-0.16426846,-0.224331619,-0.18761663,-0.115379595,-0.178599907,-0.115379595,-0.100738878,-0.104582503,-0.096749028,-0.111890848,-0.100738878,-0.115379595,-0.111890848,-0.145980072,0
HMP3_trainN_5,-0.327688651,-0.328500044,-0.120528426,-0.267133147,-0.355967201,-0.124089623,-0.097558339,-0.451160115,-0.305900806,-1.315197088,-0.255181109,-1.245744998,-0.158759792,-0.20585997,-1.383008526,-0.161681888,-0.193858307,-0.200820692,-0.418409507,-0.100212145,-0.394507499,3.244746059,-0.438368371,-0.429710343,7.127385358,-1.157099306,-0.061426421,-1.281351937,-1.882205958,-1.334621037,-0.652452462,0.771293589,-1.621699059,-0.877909484,-0.239403439,-2.181363799,-0.099042587,-0.483960387,0.767150693,1.613448365,0.14573443,-0.682927226,0.409555122,3.850190337,-0.219446619,0.767215018,1.752459279,0.704265534,-0.309850077,-0.980252231,-0.138501319,-0.649811903,-1.221975967,0.792595649,-2.140334846,0.117074638,1.023751035,-2.203965913,-0.900079873,-0.381030333,-0.932933127,0.342835551,-0.877269743,-2.342044157,-1.626980001,-0.665144836,-0.420389407,-3.036252565,-3.592864007,-0.881790321,-0.627224315,-0.26413321,-0.235197983,-0.215050671,2.034012319,-2.094328816,-0.157984267,-1.776879388,-0.267577179,0.962776408,-2.160624695,-0.118374137,-1.335443734,-3.595999655,-0.034020823,-2.61133312,0.449649418,-1.795587648,1.306027126,-1.417337065,-0.59882883,0.722948341,-0.363102485,-0.02530666,-1.829591866,-0.004737182,0.42045036,-2.741503119,-0.333855876,-0.285291999,-0.960087204,-1.275433177,-0.812539867,-0.130747096,-0.590837018,2.197509902,-0.697138304,-2.657961798,-0.433119557,-0.788665827,-0.997291363,-0.638906827,1.76274273,0.093013707,3.386441468,1.795596632,2.802297336,-2.255550712,-3.780697178,1.907776163,-0.748673208,-1.069152221,-1.85740662,0.809136477,-0.245959813,-0.165888558,-1.806199864,-1.201414844,0.516044258,-0.582729672,-0.342700844,4.181592315,-0.183156561,-0.260109142,-0.216623097,-0.159237486,-0.183156561,-0.16426846,-0.224331619,-0.18761663,-0.115379595,-0.178599907,-0.115379595,-0.100738878,-0.104582503,-0.096749028,-0.111890848,-0.100738878,-0.115379595,-0.111890848,-0.145980072,0
HMP3_trainN_6,-0.327688651,-0.328500044,-0.120528426,-0.267133147,-0.355967201,-0.124089623,-0.097558339,-0.451160115,-0.305900806,-1.315197088,-0.255181109,-1.385154669,-0.158759792,-0.20585997,-1.341842919,-0.161681888,-0.193858307,-0.200820692,-0.418409507,-0.100212145,4.626431402,0.515594833,2.507451357,-0.429710343,-0.40255247,4.132471232,-0.061426421,-1.281351937,-0.639490307,-1.285273861,1.789103223,1.211835098,-0.728643175,-0.273699214,-0.239403439,1.401034598,-0.099042587,-0.483960387,0.767150693,-0.393827326,-0.768017905,0.914200522,0.409555122,1.313452358,-0.219446619,0.767215018,0.020469829,-2.215293157,1.128736046,-0.468136682,-0.138501319,5.118295995,0.123847421,-0.012043985,-0.249763423,-0.494892565,-0.533095708,1.45397844,1.170638036,2.71158852,2.732522959,0.541625251,-0.877269743,0.07399994,0.137567824,-2.688378236,0.65129577,0.56815926,0.607860087,2.838447391,-0.627224315,-0.26413321,-1.5163685,-0.215050671,-2.020547601,-0.075222454,-0.157984267,-1.776879388,-1.346446616,0.751827168,1.965307439,3.276770747,-2.333760908,-0.381175197,-0.573221761,0.499971224,-1.022228977,-0.146289713,0.267540495,-0.038291436,-0.59882883,0.722948341,-0.363102485,-1.178500491,0.266018737,-0.004737182,1.245872721,0.076612221,0.733759739,-0.285291999,3.599299282,-0.797613751,-0.812539867,-0.130747096,-0.590837018,-0.307104711,2.396384736,0.674584678,-0.433119557,-0.743425604,-0.997291363,0.351489694,-1.117292656,0.093013707,0.146295974,1.795596632,-0.814247638,1.331617413,-1.180822725,-1.487230199,-0.748673208,-1.069152221,1.833027262,3.520056263,1.191675134,-0.165888558,-0.999147937,-1.201414844,-3.814793973,-0.582729672,-0.342700844,-0.239143351,-0.183156561,-0.260109142,-0.216623097,-0.159237486,-0.183156561,-0.16426846,-0.224331619,-0.18761663,-0.115379595,-0.178599907,-0.115379595,-0.100738878,-0.104582503,-0.096749028,-0.111890848,-0.100738878,-0.115379595,-0.111890848,-0.145980072,0
HMP3_trainN_7,-0.327688651,-0.328500044,-0.120528426,1.619100717,-0.355967201,-0.124089623,-0.097558339,-0.451160115,-0.305900806,-1.315197088,-0.255181109,-1.359807456,-0.158759792,-0.20585997,-1.177180489,-0.161681888,-0.193858307,-0.200820692,-0.418409507,-0.100212145,-0.394507499,1.425311908,0.298086561,-0.429710343,-0.40255247,0.826489646,-0.061426421,-1.281351937,0.603225343,-1.172042922,1.789103223,-0.040331133,-0.728643175,-0.420253797,-0.239403439,-0.646050201,-0.099042587,-0.483960387,-1.059763108,-0.393827326,-2.613170895,0.903883794,0.409555122,-1.223285622,-0.219446619,-0.55136153,-0.054026594,-0.268920696,-1.029143138,-1.1539262,-0.138501319,-0.649811903,-1.221975967,0.871117217,-0.980520555,0.729041842,-1.214775371,1.333005285,1.170638036,-0.381030333,-0.932933127,0.214918946,-0.877269743,-0.60201885,1.678203183,-1.078643591,0.65129577,0.250073905,1.767457598,-0.881790321,-0.627224315,-0.26413321,-0.875783242,-0.215050671,-1.883932386,0.934330727,-0.157984267,0.441162445,-0.267577179,-0.844430823,-0.613400145,-0.118374137,-0.203939548,-0.803903738,-0.243602066,-0.575607736,0.449649418,-0.993617627,-2.591576895,-0.038291436,-0.59882883,-0.829986291,-0.363102485,-1.736372037,1.128079091,-0.004737182,1.565437281,0.566050556,0.817687256,-0.285291999,-0.960087204,-0.150153146,2.155805585,-0.130747096,6.569524455,0.073955098,0.076242456,-1.40825687,-0.433119557,-0.891781035,-0.997291363,1.341886214,0.059308775,-1.401460768,1.095470131,0.87853491,0.23550797,2.019832469,-0.534219424,-0.638478609,-0.748673208,1.64736118,-0.473493914,2.24028091,-0.964777287,-0.165888558,0.990075671,-1.201414844,-3.511056586,3.770705126,-0.342700844,-0.239143351,-0.183156561,-0.260109142,-0.216623097,-0.159237486,-0.183156561,-0.16426846,-0.224331619,-0.18761663,-0.115379595,-0.178599907,-0.115379595,-0.100738878,-0.104582503,-0.096749028,-0.111890848,-0.100738878,-0.115379595,-0.111890848,-0.145980072,0
HMP3_trainN_8,-0.327688651,-0.328500044,-0.120528426,-0.275953144,-0.355967201,-0.124089623,-0.097558339,-0.451160115,-0.305900806,0.116631923,-0.255181109,-1.080988114,-0.158759792,-0.20585997,-1.033100863,-0.169568346,-0.193858307,-0.200820692,-0.418409507,-0.113464139,-0.394507499,1.766455812,0.13442991,-0.429710343,-0.40255247,-1.157099306,-0.075719686,1.243208852,-1.053728858,-1.116159221,-0.652452462,-1.188316738,-1.621699059,-0.497420337,-0.239403439,-2.181363799,-0.099042587,-0.483960387,-2.155911389,1.1673871,-1.830930291,-0.682927226,0.00863315,-1.223285622,-0.224023142,-0.697870035,-0.044885086,0.704265534,0.729128789,-0.857047621,-0.157216793,3.676269021,-1.221975967,1.731234177,-0.751377957,0.321063706,0.746941,1.326559412,-0.900079873,-0.384243896,-0.932933127,-1.164858575,-0.877269743,-1.182376959,0.75827606,-0.359964916,1.127600293,-1.461958066,1.992375765,-0.881790321,-0.627224315,-0.26413321,0.690091835,-0.215050671,-1.468423579,-2.094328816,-0.177651097,0.194713353,1.290789786,2.718895843,-0.785313983,-0.134249775,-0.420412754,0.022417484,-0.370684367,-0.475866981,-1.185771021,0.128801422,-3.673961739,-1.417337065,-0.59882883,-1.002534584,-0.363102485,-0.278590945,1.896770441,-0.026593459,-0.423521712,1.253610854,-1.506705338,-0.285291999,-0.960087204,1.353276886,-0.812539867,-0.147844248,4.182737297,0.51550059,-0.095619935,-2.657961798,-0.433119557,0.015539735,-0.997291363,0.791665925,-0.345195839,-0.205881188,-0.438927283,0.470951922,-0.420312604,0.015589978,-1.638766015,0.681801643,-0.748673208,1.345526358,-1.85740662,2.894566354,0.792332093,-0.17584078,0.371030757,-1.201414844,-0.678837537,-0.582729672,-0.342700844,-0.239143351,-0.183156561,-0.260109142,-0.216623097,-0.159237486,-0.183156561,-0.16426846,-0.224331619,-0.18761663,-0.115379595,-0.178599907,-0.115379595,-0.100738878,-0.104582503,-0.096749028,-0.111890848,-0.100738878,-0.115379595,-0.111890848,-0.145980072,0
HMP3_trainN_9,-0.327688651,-0.328500044,-0.120528426,-0.275953144,-0.355967201,-0.124089623,-0.097558339,-0.451160115,-0.305900806,0.997757469,-0.255181109,-1.499217127,13.91793402,-0.20585997,-1.362425722,-0.169568346,-0.193858307,-0.200820692,-0.418409507,-0.113464139,-0.394507499,0.17445093,-0.520196696,-0.429710343,-0.40255247,3.544741173,-0.075719686,-0.019071543,0.050907276,-1.298840743,-0.652452462,1.051460558,0.759783296,0.927967968,-0.239403439,-0.361732867,-0.099042587,-0.483960387,0.442366017,1.1673871,-0.004427376,-0.682927226,0.00863315,0.890662694,-0.224023142,-0.697870035,-0.496602987,-1.02584332,0.08975718,-1.1539262,-0.157216793,-0.649811903,-0.044380503,0.789725341,1.982756476,-2.942761377,-1.214775371,-0.421794812,1.554104316,-0.384243896,1.999431742,0.441472565,-0.877269743,-1.37985507,0.955359542,-0.301049409,1.127600293,-0.028788912,1.383474641,2.218407772,-0.627224315,-0.26413321,-2.156953759,-0.215050671,0.223917417,-0.299567606,-0.177651097,0.194713353,1.290789786,-1.297505113,0.589996728,-0.134249775,-1.369141961,-1.508451306,-0.656430143,0.126660173,2.739238032,-1.777139834,-1.57322963,-0.210672139,-0.59882883,-1.002534584,-0.363102485,2.172178043,0.533287958,-0.026593459,-0.486574809,-0.295514488,-0.05710653,-0.285291999,3.092700784,0.169062764,-0.812539867,-0.147844248,-0.590837018,0.78023277,-0.7830695,0.304301736,-0.433119557,1.522639559,-0.997291363,-0.088686538,0.552225428,0.989698392,-0.612134841,-0.344214053,0.096089019,1.696158312,0.238798921,-0.827090073,-0.748673208,0.138187069,1.012930844,-0.728390586,-1.124514503,-0.17584078,3.944321283,-1.201414844,-0.988416316,-0.582729672,-0.342700844,-0.239143351,-0.183156561,-0.260109142,-0.216623097,-0.159237486,-0.183156561,-0.16426846,-0.224331619,-0.18761663,-0.115379595,-0.178599907,-0.115379595,-0.100738878,-0.104582503,-0.096749028,-0.111890848,-0.100738878,-0.115379595,-0.111890848,-0.145980072,0
HMP3_trainN_10,-0.327688651,-0.328500044,-0.120528426,-0.284237067,-0.355967201,-0.124089623,-0.097558339,-0.451160115,-0.305900806,2.055108123,-0.255181109,-1.562585159,-0.158759792,7.416196168,-1.444756937,-0.176975469,-0.193858307,-0.200820692,-0.418409507,-0.125910684,-0.394507499,-1.505998668,1.181832479,-0.429710343,-0.40255247,-0.628142252,-0.089144213,-0.15932492,-0.390947177,-1.348232813,-0.652452462,-0.098428308,2.66496918,1.159107258,-0.239403439,-0.134279001,-0.099042587,-0.483960387,0.182538277,-1.598192741,-0.473011703,0.287008963,0.409555122,-1.223285622,-0.228321506,2.349506874,-1.942594775,0.704265534,-0.165991464,-1.1539262,-0.17479475,-0.649811903,-1.221975967,-1.031059111,0.534900971,1.952976248,-1.214775371,-0.37021356,-0.347888431,-0.38726214,-0.932933127,-0.699449572,1.037508282,-0.118475898,-0.438322567,0.722511798,-1.063400514,-2.32834516,-0.339539937,1.77552233,-0.627224315,-0.26413321,2.967728309,-0.215050671,0.892323186,1.136241363,-0.196122587,-0.002445922,-0.914898842,-0.148545496,-0.097658628,-0.149160502,0.195449624,-1.825062806,-0.795826536,1.089851915,-1.316604656,-1.109948838,0.395962655,-0.34474602,-0.59882883,0.101774488,-0.363102485,-0.817061113,-0.004483118,-0.047121323,-0.694586339,1.683187836,-2.05774893,-0.285291999,0.407728742,0.518362875,-0.812539867,-0.163902245,-0.590837018,3.105360994,1.004299368,0.34133003,-0.433119557,-0.44047928,0.624533852,-2.025461955,-0.821334449,1.587488182,-2.516520806,-2.056062601,-1.177038185,2.457725288,-0.92807849,-2.33598179,-0.748673208,1.1040585,-0.012189679,-0.900573926,-2.402412234,-0.185188111,-0.913645252,1.066991281,0.781093532,-0.582729672,-0.342700844,-0.239143351,-0.183156561,-0.260109142,-0.216623097,-0.159237486,-0.183156561,-0.16426846,-0.224331619,-0.18761663,-0.115379595,-0.178599907,-0.115379595,-0.100738878,-0.104582503,-0.096749028,-0.111890848,-0.100738878,-0.115379595,-0.111890848,-0.145980072,0
