,CKSAAP_FA.gap3,CTriad_g2.g5.g3,CKSAAP_RF.gap3,DDE_RR,DPC_KG,CKSAAP_NR.gap2,CKSAAP_EL.gap2,GTPC_uncharger.alphaticr.postivecharger,GTPC_uncharger.postivecharger.uncharger,CTDC_solventaccess.G1,CKSAAP_RC.gap1,formula_H,CKSAAP_VD.gap1,CKSAAP_FA.gap1,formula_C,DDE_CR,CKSAAP_TP.gap3,CKSAAP_PF.gap1,CKSAAP_GK.gap3,DDE_LD,DPC_KV,CTDT_hydrophobicity_FASG890101.Tr1331,CTDD_hydrophobicity_ZIMJ680101.2.residue0,CKSAAGP_alphaticr.negativecharger.gap2,CKSAAP_KK.gap1,CTDD_polarity.2.residue25,DDE_HS,ABHPRK__24,CTDD_hydrophobicity_FASG890101.3.residue50,Calculate_mw,CKSAAGP_aromatic.postivecharger.gap0,Cougar__5,CTDC_polarizability.G1,Moran_BIGC670101.lag3,CKSAAP_FK.gap3,CTDD_hydrophobicity_PRAM900101.2.residue75,CKSAAP_TY.gap2,CKSAAGP_uncharger.aromatic.gap2,CTDD_hydrophobicity_ARGP820101.1.residue100,CTDC_hydrophobicity_ZIMJ680101.G2,Z5__17,QSO3_SC_R,CTDC_hydrophobicity_ARGP820101.G2,CKSAAGP_alphaticr.postivecharger.gap2,DDE_VK,CTDD_hydrophobicity_PONP930101.3.residue25,Ez__3,CTDD_polarity.3.residue100,CTDD_hydrophobicity_ZIMJ680101.2.residue50,DDR_L,DDE_SA,CKSAAGP_aromatic.alphaticr.gap4,CTDT_hydrophobicity_PONP930101.Tr1221,Z5__1,Ez__12,CTDD_charge.1.residue75,QSO3_SC_L,Geary_CIDH920105.lag2,CTDD_hydrophobicity_PRAM900101.2.residue0,DDE_KV,CKSAAGP_postivecharger.alphaticr.gap3,Ez__5,GTPC_alphaticr.alphaticr.postivecharger,Ez__2,NMBroto_CIDH920105.lag3,NMBroto_CHAM820102.lag1,CTDC_hydrophobicity_PONP930101.G3,Moran_CHAM810101.lag1,Geary_CHAM820102.lag2,CKSAAGP_aromatic.alphaticr.gap2,APAAC_Pc1.T,CKSAAP_WL.gap3,CTDD_charge.1.residue50,CKSAAGP_negativecharger.postivecharger.gap5,Moran_CIDH920105.lag2,CTDD_hydrophobicity_PONP930101.2.residue75,DDE_LS,CTDC_hydrophobicity_CASG920101.G3,CTDC_hydrophobicity_PRAM900101.G3,NMBroto_DAYM780201.lag1,CTDD_hydrophobicity_ENGD860101.2.residue75,DDE_RL,Z3__8,QSO3_SC2,Geary_BIGC670101.lag3,Moran_CHAM820101.lag3,CTDD_secondarystruct.1.residue25,NMBroto_CIDH920105.lag1,Z5__22,CTDT_hydrophobicity_PRAM900101.Tr1221,CKSAAGP_postivecharger.uncharger.gap5,CTDD_solventaccess.1.residue25,CKSAAP_KG.gap3,Z5__5,Z5__24,DDE_RA,Boman_Index,Moran_CHAM810101.lag3,Cougar__2,CKSAAP_SL.gap2,CTDD_hydrophobicity_FASG890101.2.residue25,Geary_BIGC670101.lag1,CKSAAGP_postivecharger.uncharger.gap0,DDE_RG,CKSAAGP_aromatic.postivecharger.gap5,NMBroto_CHAM810101.lag2,CTDD_hydrophobicity_ZIMJ680101.2.residue25,CTDD_normwaalsvolume.1.residue100,CTriad_g1.g2.g5,Ez__11,APAAC_Pc1.F,CTDD_hydrophobicity_ARGP820101.2.residue50,Geary_CHAM820101.lag3,CKSAAGP_alphaticr.alphaticr.gap3,Ez__6,CTDC_hydrophobicity_ENGD860101.G1,Geary_CHOC760101.lag3,Z5__11,Moran_CHOC760101.lag1,CTDC_hydrophobicity_PONP930101.G1,CKSAAGP_postivecharger.uncharger.gap1,ABHPRK__27,CTDD_polarizability.1.residue75,Flexibility,CTDD_hydrophobicity_PONP930101.1.residue50,DDE_LH,MSW__7,CKSAAGP_alphaticr.postivecharger.gap5,NMBroto_CHAM820102.lag2,CKSAAGP_aromatic.uncharger.gap1,MotifBitVec_FKK,MotifBitVec_LKL,MotifBitVec_KKLL,MotifBitVec_KWK,MotifBitVec_VLK,MotifBitVec_CYCR,MotifBitVec_CRR,MotifBitVec_RFC,MotifBitVec_RRR,MotifBitVec_LKKL,MotifBitVec_ALW,MotifBitVec_GCS,MotifBitVec_AAAK,MotifBitVec_KLLS,MotifBitVec_LGKL,MotifBitVec_LLKKV,MotifBitVec_AKAAL,MotifBitVec_KVLKA,MotifBitVec_HIF,MotifBitVec_KKG,MotifBitVec_QN,y
HMP3_testN_1,-0.318132111,-0.339120271,-0.134568258,2.901169946,-0.314946777,-0.150994609,-0.078688948,-0.449218959,-0.345967301,0.467354346,-0.265346408,-1.475635115,-0.159138614,-0.253577246,-1.277518926,-0.131472057,-0.219191088,-0.182054975,-0.479580235,0.020371976,-0.353682069,-0.590950805,-1.15628722,-0.449079534,-0.389168486,-1.130150507,0.035690235,3.588887137,1.748359936,-1.284888897,-0.638468006,-1.734781535,-1.619639169,-1.140410841,-0.273227377,-2.151821805,-0.076446281,-0.49361724,-2.148181294,-2.406243973,-3.472815816,1.672213901,-0.32189194,-1.263972533,-0.234483534,4.082844934,-1.357770896,-3.667845265,-2.501092067,-1.285990412,-0.0514114,-0.684124374,-1.316866795,3.347764661,1.01486815,-1.853336582,-1.261890797,-0.525556637,-0.881825547,-0.308995813,-0.923822943,-0.416235968,-0.882008397,2.129755421,-3.273553201,0.706886503,1.616565338,2.7954114,-0.250908192,-0.901854357,-0.604650886,-0.272110131,-1.090207162,-0.192786975,-0.144693247,-1.269860384,-0.099942116,3.72441513,1.766701659,2.737835118,0.299989586,-0.132929879,4.535518401,-2.046756266,-0.036563459,-0.496584582,-0.042070993,4.171137121,-3.966937954,-1.412591454,-0.582099954,4.856987596,-0.371676086,-3.629551924,2.409156319,0.006274401,2.146448612,-3.992086924,-0.530433402,-0.26183899,-0.970966917,0.390924907,-0.808361891,-0.097376079,-0.61574881,0.241574303,-1.431940867,-2.643978569,-0.476859714,0.173019833,0.081245687,-1.956081663,-0.566037359,-1.446088306,0.010239852,0.192269686,-1.150730756,3.456514975,-3.460929428,-2.345608423,-0.743564556,5.451721936,-1.848898095,3.450945292,-2.428873784,-0.108429575,2.435192346,-1.15278377,-0.955980198,-0.567609105,-0.301005028,-0.1958026,-0.219970673,-0.242140294,-0.219970673,-0.168763185,-0.178174161,-0.158860294,-0.234935747,-0.168763185,-0.148366366,-0.178174161,-0.111629114,-0.096523418,-0.078688948,-0.111629114,-0.055555556,-0.096523418,-0.125,-0.096523418,-0.137145096,0
HMP3_testN_2,-0.318132111,-0.339120271,-0.134568258,-0.272724084,-0.314946777,-0.150994609,-0.078688948,-0.449218959,-0.345967301,-0.385419536,-0.265346408,-1.333137438,-0.159138614,-0.253577246,-1.136236527,-0.142167131,-0.219191088,-0.182054975,-0.479580235,-0.001370962,-0.353682069,4.203859821,-0.180519746,-0.449079534,8.055850324,-1.130150507,0.014279834,-1.277623716,-1.157359739,-1.198858685,6.274032962,-1.399920591,-1.619639169,-3.961320586,-0.273227377,-2.151821805,-0.076446281,-0.49361724,-2.148181294,1.66707173,-3.581213934,-0.755932906,0.407534908,-1.263972533,-0.24029553,1.47715166,0.761889921,-0.545590731,-1.554116963,-1.285990412,-0.074571815,-0.684124374,-1.316866795,1.44055278,-2.458417484,-0.479263092,-1.261890797,-3.909007656,-0.881825547,-0.312901398,-0.923822943,-0.925382634,-0.882008397,-5.708375974,-3.597459639,-1.210337406,0.675515512,-4.520741448,-3.942269589,-0.901854357,-0.604650886,-0.272110131,-1.25196205,-0.192786975,3.972276303,-2.07770997,-0.123298473,2.789436856,0.836326833,2.531974701,0.583136669,-0.152582123,3.646295039,-4.359945791,2.923183039,-3.854254759,-0.455973798,-4.305358988,-5.13322844,-1.412591454,-0.582099954,1.670323757,-0.371676086,-2.097601003,5.464614307,-0.017377561,0.374556421,-3.992086924,-3.007838906,-0.26183899,-0.970966917,3.062008799,-0.808361891,-0.1192283,-0.61574881,0.236163293,-0.426136691,-2.643978569,-0.476859714,-1.410692378,-0.978954007,-2.211847027,2.842129465,-1.446088306,3.345690877,0.956007804,2.996926149,2.568318721,-4.059798782,1.143140055,-0.743564556,4.360730831,-1.848898095,0.393931839,-1.44847386,-0.122813009,1.517197063,-1.15278377,1.15333357,-0.567609105,-0.301005028,-0.1958026,-0.219970673,4.129837231,-0.219970673,-0.168763185,-0.178174161,-0.158860294,-0.234935747,-0.168763185,-0.148366366,-0.178174161,-0.111629114,-0.096523418,-0.078688948,-0.111629114,-0.055555556,-0.096523418,-0.125,-0.096523418,-0.137145096,0
HMP3_testN_3,-0.318132111,-0.339120271,16.65258593,5.379093619,-0.314946777,-0.150994609,-0.078688948,-0.449218959,-0.345967301,-0.385419536,-0.265346408,-1.344098798,-0.159138614,-0.253577246,-1.171557127,-0.142167131,-0.219191088,-0.182054975,-0.479580235,-0.001370962,-0.353682069,-0.910604846,-1.15628722,-0.449079534,-0.389168486,-1.130150507,0.014279834,2.615584966,2.474789855,-1.164038038,-0.638468006,-0.90545692,-1.619639169,-2.486287882,-0.273227377,-2.151821805,-0.076446281,-0.49361724,-2.148181294,-2.406243973,-2.895387823,2.670592654,0.407534908,-1.263972533,-0.24029553,4.734268253,-0.359140907,-2.947324988,-2.501092067,-1.285990412,-0.074571815,-0.684124374,-1.316866795,3.050866689,0.51468642,-1.242637253,-1.261890797,-1.362501884,-0.881825547,-0.312901398,-0.923822943,0.636971491,-0.882008397,3.518313004,-3.401469666,1.554144126,0.675515512,3.50612339,-1.159120586,-0.901854357,-0.604650886,-0.272110131,-1.25196205,-0.192786975,1.134853344,-0.731293993,-0.123298473,2.789436856,0.836326833,2.151727639,0.583136669,-0.152582123,4.550025899,-2.183662948,1.67526324,-1.828300888,-0.455973798,3.668169343,-4.694365854,-1.412591454,-0.582099954,5.653653555,-0.371676086,-4.143936609,2.223346503,-0.017377561,3.240054628,-3.992086924,1.062903187,-0.26183899,-0.970966917,-0.24084854,-0.808361891,-0.1192283,-0.61574881,0.230565696,-1.431940867,-2.643978569,-0.476859714,-0.23288225,-0.156189128,-2.211847027,1.12603034,-1.446088306,0.787362981,0.956007804,0.152818557,3.091950764,-3.024952538,-2.345608423,-0.743564556,4.360730831,-1.848898095,0.473707539,-2.428873784,-0.122813009,1.438250949,-1.15278377,0.781860695,-0.567609105,-0.301005028,-0.1958026,-0.219970673,-0.242140294,-0.219970673,-0.168763185,-0.178174161,-0.158860294,4.256482945,-0.168763185,-0.148366366,-0.178174161,-0.111629114,-0.096523418,-0.078688948,-0.111629114,-0.055555556,-0.096523418,-0.125,-0.096523418,-0.137145096,0
HMP3_testN_4,-0.318132111,-0.339120271,-0.134568258,-0.285771506,-0.314946777,-0.150994609,-0.078688948,-0.449218959,-0.345967301,1.441953069,-0.265346408,-1.21256248,-0.159138614,-0.253577246,-1.118576227,-0.151836218,-0.219191088,-0.182054975,-0.479580235,-0.021028081,-0.353682069,1.007319404,-0.319915099,-0.449079534,-0.389168486,-1.130150507,-0.005076648,3.588887137,-0.119602712,-1.17944424,-0.638468006,-2.091639677,-1.619639169,-0.932000209,-0.273227377,-2.151821805,-0.076446281,-0.49361724,-2.148181294,-0.078635,-2.447458814,-0.755932906,-1.155522623,-1.263972533,-0.245549976,1.011849289,-1.736633343,-1.403352966,-1.689399121,-1.021299542,-0.09551043,7.472407003,-1.316866795,2.707397075,1.228072131,-2.115064866,1.268053092,-0.771324627,-0.881825547,-0.316432317,-0.923822943,-2.352946701,2.117522475,-1.781267689,0.795482136,-0.406365352,2.692050853,0.416071256,-0.700764081,-0.901854357,-0.604650886,-0.272110131,-1.367501256,-0.192786975,0.321294208,-2.07770997,-0.144414233,0.785911983,2.829987176,3.315565857,-1.034846665,-0.17034911,-0.147863107,-1.659150334,0.267292254,-0.801144091,-0.751618658,1.647490309,-3.317832439,-1.412591454,-0.582099954,1.101276644,-0.371676086,0.445647398,2.779135103,-0.038760569,-1.377658017,0.244196425,-2.620541664,-0.26183899,-0.970966917,1.703983784,-0.808361891,-0.138984218,-0.61574881,0.754276835,-0.569823002,-2.643978569,-0.476859714,1.298409461,-0.978954007,-2.394536573,0.194229883,0.592927276,-0.854694192,-0.680573878,-0.009309597,0.680713079,-1.224199138,-0.352037864,-0.743564556,2.022892748,-1.848898095,1.072234605,-1.588530992,-0.135816627,1.702227018,-1.15278377,-0.15488792,-0.567609105,-0.301005028,-0.1958026,-0.219970673,-0.242140294,-0.219970673,-0.168763185,-0.178174161,-0.158860294,-0.234935747,-0.168763185,-0.148366366,-0.178174161,-0.111629114,-0.096523418,-0.078688948,-0.111629114,-0.055555556,-0.096523418,-0.125,-0.096523418,-0.137145096,0
HMP3_testN_5,-0.318132111,-0.339120271,-0.134568258,-0.297769848,-0.314946777,-0.150994609,-0.078688948,-0.449218959,-0.345967301,-0.385419536,-0.265346408,-1.21256248,-0.159138614,-0.253577246,-1.312839526,-0.16072786,-0.219191088,-0.182054975,-0.479580235,-0.039104667,-0.353682069,4.203859821,-0.424461614,-0.449079534,-0.389168486,3.416031188,-0.02287677,-1.277623716,0.658715058,-1.213560736,-0.638468006,0.692285915,0.159050109,-0.123464246,-0.273227377,1.426072684,-0.076446281,-0.49361724,0.404365822,-0.369586121,-0.42473582,1.077923614,1.319318468,1.383142533,-0.250381937,0.662872512,0.154717842,-2.046674642,-1.790860739,-0.687127319,5.634450914,-0.684124374,0.224892245,0.183649052,0.247681989,-1.051793713,-0.530248626,-3.349344993,3.944587564,-0.319679332,-0.923822943,0.466751856,-0.882008397,-2.642281363,-2.649311705,0.178649783,-0.500796771,-0.77106626,-2.026581311,-0.901854357,-0.604650886,-0.272110131,-1.45415566,-0.192786975,3.069835503,0.446819987,3.701405224,-0.716731672,-0.326641701,-0.682149033,1.467971304,3.065557252,-2.456611843,-3.259358307,-0.577008753,-0.950685402,-0.973352304,-3.188138019,0.791124656,-1.412591454,7.03799932,0.674491308,-0.371676086,-0.498537103,-0.556836092,-0.058424275,1.174412348,-0.503867733,0.983431153,-0.26183899,-0.970966917,-2.502127461,-0.808361891,-0.157151659,-0.61574881,0.407962862,-0.677587735,0.658082417,-0.476859714,0.207425206,-0.978954007,-0.613313503,0.567671971,1.612435067,1.897103012,0.001335156,0.694168582,-0.308005808,0.879706761,-0.601234184,2.973166733,-1.094224695,1.400656598,-1.31314062,-1.693573841,-0.147774688,-0.751732757,-1.15278377,1.917671417,-0.567609105,-0.301005028,-0.1958026,-0.219970673,-0.242140294,-0.219970673,-0.168763185,-0.178174161,-0.158860294,-0.234935747,-0.168763185,-0.148366366,-0.178174161,-0.111629114,-0.096523418,-0.078688948,-0.111629114,-0.055555556,-0.096523418,-0.125,-0.096523418,-0.137145096,0
HMP3_testN_6,-0.318132111,-0.339120271,-0.134568258,-0.297769848,-0.314946777,-0.150994609,-0.078688948,-0.449218959,-0.345967301,-0.385419536,-0.265346408,-1.048142084,-0.159138614,-0.253577246,-1.189217427,-0.16072786,-0.219191088,-0.182054975,-0.479580235,-0.039104667,-0.353682069,0.550670773,1.039189597,-0.449079534,-0.389168486,-1.130150507,-0.02287677,1.503239629,-2.065397137,-1.181695975,-0.638468006,-0.396416793,-1.619639169,-0.678588636,-0.273227377,-2.151821805,-0.076446281,-0.49361724,-2.148181294,1.66707173,0.015322994,-0.755932906,0.407534908,4.0302576,-0.250381937,-0.558546211,0.535202734,0.655276397,0.339833243,-1.021299542,-0.114765474,-0.684124374,-1.316866795,1.275556415,-0.317337033,1.238328771,1.689349708,1.805121805,-0.881825547,-0.319679332,-0.923822943,-0.682787818,4.117209723,1.500993956,-0.573056383,-0.037291492,0.675515512,1.212733437,2.409480664,-0.901854357,-0.604650886,-0.272110131,0.36558683,-0.192786975,-2.276229976,-2.07770997,-0.163832179,-1.885454515,0.836326833,1.587587318,-2.248334165,-0.186687541,-0.266392745,-0.016270149,0.354194418,-0.653330621,0.578783215,0.762141257,-0.984272808,-1.412591454,-0.582099954,-0.819257366,-0.371676086,0.427929596,-1.967637071,-0.058424275,-0.436256436,-0.668094872,-0.344626561,-0.26183899,-0.970966917,-1.119470096,-0.808361891,-0.157151659,-0.61574881,0.608963227,0.83111853,-2.643978569,-0.476859714,0.120044436,-0.978954007,0.345806612,0.33411561,1.612435067,-0.387796891,0.956007804,0.366126626,-2.14181602,0.868040475,1.143140055,-0.743564556,-1.094224695,-1.848898095,1.074038847,0.51232599,-0.147774688,-1.208910937,7.621811566,-0.55725472,-0.567609105,-0.301005028,-0.1958026,4.546060566,-0.242140294,-0.219970673,-0.168763185,-0.178174161,-0.158860294,-0.234935747,5.925462945,-0.148366366,-0.178174161,-0.111629114,-0.096523418,-0.078688948,-0.111629114,-0.055555556,-0.096523418,-0.125,-0.096523418,-0.137145096,0
HMP3_testN_7,-0.318132111,-0.339120271,-0.134568258,-0.297769848,-0.314946777,-0.150994609,-0.078688948,6.344090501,-0.345967301,-0.385419536,-0.265346408,-1.135832962,-0.159138614,-0.253577246,-0.977293828,-0.16072786,-0.219191088,-0.182054975,-0.479580235,-0.039104667,-0.353682069,1.463968035,1.771015203,-0.449079534,-0.389168486,-1.130150507,-0.02287677,0.112807956,-2.065397137,-1.020677565,1.83028234,-0.559147778,-1.619639169,-2.229751426,-0.273227377,-2.151821805,-0.076446281,5.689965292,-0.324933354,-0.369586121,-1.914636321,0.126733714,-0.504248652,-1.263972533,-0.250381937,-0.558546211,-0.033829335,-0.245373949,0.339833243,-0.687127319,-0.114765474,4.753563211,0.224892245,1.623899977,-1.449442206,-0.479263092,-0.557517483,-1.54367958,-0.881825547,-0.319679332,-0.923822943,-0.479401753,-0.882008397,0.189041674,-3.790206928,-0.138481389,0.675515512,-0.729003391,0.824099685,-0.901854357,-0.604650886,-0.272110131,-0.240994,-0.192786975,1.341304757,-0.562991996,-0.163832179,1.620714013,0.836326833,0.795776268,-1.717433384,-0.186687541,1.300387388,-0.702581568,1.882517784,-1.989286983,2.130918733,-0.249616399,-1.191347392,-1.412591454,-0.582099954,-0.819257366,-0.371676086,-1.842708548,-0.101923252,-0.058424275,0.853530812,-0.375583572,-0.419439898,-0.26183899,-0.970966917,-2.237312676,2.243485185,-0.157151659,6.133485155,0.404371071,1.585471662,-2.643978569,-0.476859714,-0.706496175,-0.063244317,-0.613313503,1.396820013,-1.446088306,0.725648019,0.956007804,1.292380695,0.808197998,1.271489303,0.270952936,2.973166733,2.996991949,-1.848898095,0.71224291,0.51232599,-0.147774688,2.103433637,-1.15278377,-0.630920726,-0.567609105,-0.301005028,-0.1958026,-0.219970673,-0.242140294,-0.219970673,-0.168763185,-0.178174161,-0.158860294,-0.234935747,-0.168763185,-0.148366366,-0.178174161,-0.111629114,-0.096523418,-0.078688948,-0.111629114,-0.055555556,-0.096523418,-0.125,-0.096523418,-0.137145096,0
HMP3_testN_8,-0.318132111,-0.339120271,-0.134568258,-0.308937633,-0.314946777,-0.150994609,-0.078688948,-0.449218959,-0.345967301,-0.859182804,-0.265346408,-0.938528486,-0.159138614,-0.253577246,-0.906652628,-0.169004,-0.219191088,-0.182054975,-0.479580235,-0.055929943,-0.353682069,1.007319404,-0.50577557,-0.449079534,-0.389168486,-1.130150507,-0.03944472,1.15563171,0.053356793,-0.969460263,-0.638468006,-0.551583481,-1.619639169,-0.603004868,-0.273227377,-2.151821805,-0.076446281,-0.49361724,-2.148181294,2.119662364,-1.477459162,-0.755932906,0.812772046,-1.263972533,-0.254879418,1.47715166,1.25853042,0.655276397,-1.238458595,-0.892262743,-0.132687631,3.394141315,-1.316866795,1.00211409,-1.067782498,-0.224805038,0.04470583,2.109639263,-0.881825547,-0.32270158,-0.923822943,-0.393543555,-0.882008397,0.561160156,-0.174043001,-0.194022096,0.152710053,-1.11290025,2.744646778,-0.901854357,-0.604650886,-0.272110131,-0.98237057,-0.192786975,-2.2658031,-2.07770997,-0.181905963,0.192274983,0.319451929,2.411813214,-0.832598748,-0.201894982,-0.081077488,0.456680208,-0.285278078,-0.683043162,-1.145811806,0.652968297,-3.933063191,-1.412591454,-0.582099954,1.670323757,-0.371676086,-1.073274634,1.932002988,-0.076726805,0.288292333,-1.242340707,-1.152378076,-0.26183899,-0.970966917,1.564829277,-0.808361891,-0.174061502,3.8837405,0.38953744,-0.76140475,-2.643978569,-0.476859714,-1.092560905,-0.978954007,-1.785571421,-0.173934616,-0.222678957,0.038548991,1.380306759,0.412606815,-0.082391866,-2.059671802,1.530778775,-0.743564556,1.330199983,-1.848898095,3.403294146,-1.121673885,-0.158904981,-0.348179,-1.15278377,-0.992952623,-0.567609105,-0.301005028,-0.1958026,-0.219970673,-0.242140294,-0.219970673,-0.168763185,-0.178174161,-0.158860294,-0.234935747,-0.168763185,-0.148366366,-0.178174161,-0.111629114,-0.096523418,-0.078688948,-0.111629114,-0.055555556,-0.096523418,-0.125,-0.096523418,-0.137145096,0
HMP3_testN_9,-0.318132111,-0.339120271,-0.134568258,-0.308937633,-0.314946777,-0.150994609,-0.078688948,-0.449218959,-0.345967301,1.983396804,-0.265346408,-1.311214718,-0.159138614,-0.253577246,-1.206877727,-0.169004,-0.219191088,-0.182054975,-0.479580235,-0.055929943,-0.353682069,-0.590950805,-0.50577557,-0.449079534,-0.389168486,2.910899889,-0.03944472,-0.060996003,0.053356793,-1.172572965,-0.638468006,-0.057745567,0.751946535,0.860169289,-0.273227377,1.028528852,-0.076446281,-0.49361724,0.444882443,1.214481097,-0.522959302,-0.755932906,0.812772046,0.941956689,-0.254879418,-0.694259402,-1.316871561,-3.347614031,0.024174876,-1.285990412,-0.132687631,-0.684124374,-1.316866795,-0.080520716,0.926208121,-2.769385575,-1.261890797,-0.997683906,1.569685875,-0.32270158,1.690363881,-0.557227845,-0.882008397,-0.89086604,1.078664499,-0.087076769,1.19832097,1.304139104,0.633836916,2.171265656,-0.604650886,-0.272110131,-2.06073649,-0.192786975,0.524755193,1.06392731,-0.181905963,0.192274983,1.353201736,-1.012484203,1.055048475,-0.201894982,-0.944227695,-2.494814498,-0.653486067,0.027286917,2.993216243,-1.367999688,-1.246317887,-1.412591454,-0.582099954,-0.985229441,-0.371676086,1.820902712,0.783669737,-0.076726805,-1.241503869,-0.234771117,-0.932615157,-0.26183899,3.006215265,0.217037546,-0.808361891,-0.174061502,-0.61574881,0.366427363,-0.76140475,0.291186752,-0.476859714,0.624979012,-0.978954007,-0.080468994,0.612995383,2.224139742,-1.001330792,-1.165486969,0.294626715,2.003722538,0.190785193,-1.570330983,-0.743564556,0.117987644,1.039594965,0.580417293,-1.121673885,-0.158904981,2.529105327,-1.15278377,-0.632785439,-0.567609105,-0.301005028,-0.1958026,-0.219970673,-0.242140294,-0.219970673,-0.168763185,-0.178174161,-0.158860294,-0.234935747,-0.168763185,-0.148366366,-0.178174161,-0.111629114,-0.096523418,-0.078688948,-0.111629114,-0.055555556,-0.096523418,-0.125,-0.096523418,-0.137145096,0
HMP3_testN_10,-0.318132111,-0.339120271,-0.134568258,1.925139475,-0.314946777,-0.150994609,-0.078688948,-0.449218959,-0.345967301,-1.806709341,-0.265346408,-1.059103444,-0.159138614,-0.253577246,-0.924312928,-0.169004,-0.219191088,-0.182054975,-0.479580235,-0.055929943,-0.353682069,1.806454508,0.144736079,-0.449079534,-0.389168486,0.601728234,-0.03944472,-1.277623716,0.053356793,-0.908384848,3.681845099,0.385721542,-0.829110601,-0.371507752,-0.273227377,-0.788814381,-0.076446281,-0.49361724,-1.175782392,-0.595881438,-2.164343682,1.750500391,0.812772046,-1.263972533,-0.254879418,-0.694259402,0.517954452,0.655276397,-1.238458595,-1.285990412,-0.132687631,-0.684124374,-1.316866795,0.918820208,-0.901981611,0.793027177,-1.261890797,0.906824715,0.956808019,-0.32270158,-0.923822943,0.894538347,-0.882008397,-1.232918257,1.549314151,-1.330073525,0.152710053,0.226961623,1.123894539,-0.901854357,-0.604650886,-0.272110131,1.17436127,-0.192786975,-1.415773018,1.06392731,-0.181905963,0.192274983,-0.714297879,-0.552729273,-0.832598748,-0.201894982,0.690052761,-0.978172941,-0.461941146,-0.49589824,0.233864211,-1.430697511,-2.093725998,-0.158812292,-0.582099954,-0.985229441,-0.371676086,-2.406557279,1.044010914,-0.076726805,2.50750556,0.599422592,0.511393317,-0.26183899,-0.970966917,0.164111703,1.862004301,-0.174061502,3.8837405,0.065836425,-0.090868632,-1.543291574,-0.476859714,-1.106118869,-0.978954007,0.772082219,-0.178222673,-1.446088306,0.508510164,1.380306759,-0.033800275,1.905261812,-0.249649023,-0.795053544,-0.743564556,1.330199983,-0.610972497,2.138791987,-1.121673885,-0.158904981,0.457866307,-1.15278377,-2.546116427,3.288220439,-0.301005028,-0.1958026,-0.219970673,-0.242140294,-0.219970673,-0.168763185,-0.178174161,-0.158860294,-0.234935747,-0.168763185,-0.148366366,-0.178174161,-0.111629114,-0.096523418,-0.078688948,-0.111629114,-0.055555556,-0.096523418,-0.125,-0.096523418,-0.137145096,0
